tab 	er_locations
er_citation_names	er_location_name	location_begin_lat	location_begin_lon	location_end_lat	location_end_lon	location_type
This study	Timbavati					
This study	Baked sed					
This study	Baked ss					
This study	Karoo Dike					
This study	Timbavati					
This study	Vredefort					
This study						
This study	post-Waterberg					
