tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_temp
TMK	This study	Timbavati	TG01-20	TG01	TG01-20	TG01-20:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	292.9	g	-74.51	9.442e-06	3	u	273.		473.0
TMK	This study	Timbavati	TG01-20	TG01	TG01-20	TG01-20:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	294.22	g	-74.39	9.278e-06	4	u	273.		523.0
TMK	This study	Timbavati	TG01-20	TG01	TG01-20	TG01-20:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	291.64	g	-74.27	9.133e-06	5	u	273.		573.0
TMK	This study	Timbavati	TG01-20	TG01	TG01-20	TG01-20:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	292.83	g	-74.93	8.906e-06	6	u	273.		623.0
TMK	This study	Timbavati	TG01-20	TG01	TG01-20	TG01-20:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	291.7	g	-74.67	8.577e-06	7	u	273.		673.0
TMK	This study	Timbavati	TG01-20	TG01	TG01-20	TG01-20:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	291.45	g	-75.42	8.288e-06	8	u	273.		723.0
TMK	This study	Timbavati	TG01-20	TG01	TG01-20	TG01-20:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	292.19	g	-75.85	7.855e-06	9	u	273.		773.0
TMK	This study	Timbavati	TG01-20	TG01	TG01-20	TG01-20:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	231.58	g	-72.48	3.567e-06	10	u	273.		823.0
TMK	This study	Timbavati	TG01-20	TG01	TG01-20	TG01-20:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	179.44	g	-15.99	1.460e-07	11	u	273.		848.0
TMK	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LT-NO:LP-DIR-AF:LP-DIR-T	335.32	g	-69.78	1.678e-05	0	u	273.		
TMK	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LT-AF-Z:LP-DIR-AF:LP-DIR-T	322.75	g	-71.19	1.369e-05	1	u	273.	0.0100	
TMK	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	317.49	g	-70.91	1.365e-05	2	u	273.		423.0
TMK	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	323.38	g	-71.79	1.346e-05	3	u	273.		473.0
TMK	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	314.21	g	-71.2	1.317e-05	4	u	273.		523.0
TMK	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	319.42	g	-71.77	1.284e-05	5	u	273.		573.0
TMK	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	312.06	g	-72.01	1.200e-05	6	u	273.		623.0
TMK	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	313.43	g	-72.91	1.152e-05	7	u	273.		673.0
TMK	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	311.21	g	-72.8	1.111e-05	8	u	273.		723.0
TMK	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	309.53	g	-73.51	1.087e-05	9	u	273.		773.0
TMK	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	291.95	g	-76.74	6.371e-06	10	u	273.		823.0
TMK	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	206.84	g	-54.16	6.144e-07	11	u	273.		848.0
TMK	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LT-NO:LP-DIR-AF:LP-DIR-T	215.05	g	-14.05	1.150e-05	0	u	273.		
TMK	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LT-AF-Z:LP-DIR-AF:LP-DIR-T	194.82	g	-0.77	1.169e-05	1	u	273.	0.0100	
TMK	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	194.8	g	-1.36	1.175e-05	2	u	273.		423.0
TMK	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	194.17	g	-1.36	1.185e-05	3	u	273.		473.0
TMK	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	195.61	g	-1.2	1.194e-05	4	u	273.		523.0
TMK	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	194.35	g	-0.66	1.204e-05	5	u	273.		573.0
TMK	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	194.58	g	1.36	1.204e-05	6	u	273.		623.0
TMK	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	192.76	g	2.14	1.218e-05	7	u	273.		673.0
TMK	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	193.57	g	1.26	1.216e-05	8	u	273.		723.0
TMK	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	193.67	g	3.28	1.196e-05	9	u	273.		773.0
TMK	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	192.44	g	4.19	1.054e-05	10	u	273.		823.0
TMK	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	189.39	g	-0.59	2.412e-06	11	u	273.		848.0
TMK	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LT-NO:LP-DIR-AF:LP-DIR-T	206.23	g	-6.69	1.406e-05	0	u	273.		
TMK	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LT-AF-Z:LP-DIR-AF:LP-DIR-T	194.85	g	0.73	1.423e-05	1	u	273.	0.0100	
TMK	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	195.33	g	-0.43	1.449e-05	2	u	273.		423.0
TMK	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	195	g	-0.06	1.462e-05	3	u	273.		473.0
TMK	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	194.6	g	1.15	1.474e-05	4	u	273.		523.0
TMK	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	194.13	g	1.18	1.489e-05	5	u	273.		573.0
TMK	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	194.76	g	1.59	1.497e-05	6	u	273.		623.0
TMK	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	192.66	g	2.92	1.509e-05	7	u	273.		673.0
TMK	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	193.29	g	3.16	1.517e-05	8	u	273.		723.0
TMK	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	192.57	g	4.47	1.489e-05	9	u	273.		773.0
TMK	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	190.71	g	4.08	1.276e-05	10	u	273.		823.0
TMK	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	188.16	g	-0.25	2.577e-06	11	u	273.		848.0
TMK	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LT-NO:LP-DIR-AF:LP-DIR-T	212.79	g	11.37	1.155e-05	0	u	273.		
TMK	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LT-AF-Z:LP-DIR-AF:LP-DIR-T	196.8	g	4.24	1.317e-05	1	u	273.	0.0100	
TMK	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	196.39	g	3.55	1.322e-05	2	u	273.		423.0
