tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Timbavati	TG01-17	TG01	TG01-17	TG01-17:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	723	K		u	0.0	334.2	l	-65.2	0.6	4	0
	This study	Timbavati	TG01-17	TG01	TG01-17	TG01-17:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	723	K		u	0.0	334.2	l	-65.2	0.6	4	100
	This study	Timbavati	TG01-18	TG01	TG01-18	TG01-18:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	773	K		u	0.0	318.6	l	-69.4	0.5	3	-1
	This study	Timbavati	TG01-18	TG01	TG01-18	TG01-18:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	773	K		u	0.0	318.6	l	-69.4	0.5	3	0
	This study	Timbavati	TG01-18	TG01	TG01-18	TG01-18:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	773	K		u	0.0	318.6	l	-69.4	0.5	3	100
	This study	Timbavati	TG01-19	TG01	TG01-19	TG01-19:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	723	K		u	0.0	308.1	l	-68.9	1.3	4	-1
	This study	Timbavati	TG01-19	TG01	TG01-19	TG01-19:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	723	K		u	0.0	308.1	l	-68.9	1.3	4	0
	This study	Timbavati	TG01-19	TG01	TG01-19	TG01-19:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	723	K		u	0.0	308.1	l	-68.9	1.3	4	100
	This study	Timbavati	TG01-2	TG01	TG01-2	TG01-2:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	773	K		u	0.0	191.6	l	3.6	1.1	3	-1
	This study	Timbavati	TG01-2	TG01	TG01-2	TG01-2:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	773	K		u	0.0	191.6	l	3.6	1.1	3	0
	This study	Timbavati	TG01-2	TG01	TG01-2	TG01-2:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	773	K		u	0.0	191.6	l	3.6	1.1	3	100
	This study	Timbavati	TG01-20	TG01	TG01-20	TG01-20:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFP:DA-DIR	pmagpy-2.220	848	773	K		u		265.8	p	13.6	1.7	3	-1
	This study	Timbavati	TG01-20	TG01	TG01-20	TG01-20:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFP:DA-DIR-GEO	pmagpy-2.220	848	773	K		u		265.8	p	13.6	1.7	3	0
	This study	Timbavati	TG01-20	TG01	TG01-20	TG01-20:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFP:DA-DIR-TILT	pmagpy-2.220	848	773	K		u		265.8	p	13.6	1.7	3	100
	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFP:DA-DIR	pmagpy-2.220	848	723	K		u		276.8	p	13.7	2.0	4	-1
