tab 	magic_measurements																			
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-1	PW8	PW8-1a	"PW8-1a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:15:54:04.00	-58.43185441	g	-77.99509334	0.000314784	1174186		u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-2	PW8	PW8-2a	"PW8-2a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:16:00:34.00	217.8988012	g	-49.78126545	0.000459739	1174187		u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-4	PW8	PW8-4a	"PW8-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:16:07:57.00	231.7713079	g	61.46139449	0.000206489	1174196		u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-5	PW8	PW8-5a	"PW8-5a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:16:14:25.00	238.7476612	g	-1.017490027	0.000429947	1174197		u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-10	PW8	PW8-10a	"PW8-10a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:16:22:56.00	4.431689767	g	72.8253984	0.000149674	1174206		u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-11	PW8	PW8-11a	"PW8-11a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:16:29:44.00	202.4556898	g	70.75772255	0.000241808	1174207		u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-12	PW8	PW8-12a	"PW8-12a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:16:38:29.00	-72.27752754	g	9.457909722	0.0003456	1174224		u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-13	PW8	PW8-13a	"PW8-13a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:16:44:43.00	250.6986863	g	47.2273998	0.000664357	1174233		u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-1	PW8	PW8-1a	"PW8-1a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:14:13:40:45.00	-53.86827515	g	-70.94536481	0.000197705	1206143		u				77
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-2	PW8	PW8-2a	"PW8-2a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:14:13:51:29.00	223.1710487	g	-49.76244148	0.000292395	1206152		u				77
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-4	PW8	PW8-4a	"PW8-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:14:13:57:27.00	215.4184179	g	65.58834716	0.000123078	1206153		u				77
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-5	PW8	PW8-5a	"PW8-5a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:14:14:03:27.00	230.0267133	g	-7.738985984	0.000220051	1206162		u				77
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-10	PW8	PW8-10a	"PW8-10a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:14:14:09:11.00	1.728669806	g	76.23774925	0.00011199	1206171		u				77
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-11	PW8	PW8-11a	"PW8-11a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:26:10:40:35.00	199.8219678	g	70.77292066	0.000226827	1217231		u				77
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-12	PW8	PW8-12a	"PW8-12a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:26:10:47:37.00	-72.18823576	g	15.80786013	0.000205007	1217232		u				77
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-13	PW8	PW8-13a	"PW8-13a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:26:10:55:25.00	254.1961011	g	43.54999451	0.000330775	1217233		u				77
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-1	PW8	PW8-1a	"PW8-1a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:03:10:25:24.00	-48.62481808	g	-73.43061945	0.000197166	1221819		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-2	PW8	PW8-2a	"PW8-2a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:03:10:32:22.00	222.7258464	g	-50.42243229	0.00029004	1221820		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-4	PW8	PW8-4a	"PW8-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:03:10:42:07.00	217.9940469	g	67.00764092	0.00012466	1221837		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-5	PW8	PW8-5a	"PW8-5a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:03:10:50:23.00	230.8811944	g	-8.544879997	0.000220697	1221846		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-10	PW8	PW8-10a	"PW8-10a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:03:11:02:51.00	-4.721440059	g	75.1613221	0.000113303	1221855		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-11	PW8	PW8-11a	"PW8-11a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:03:11:11:59.00	201.96377	g	71.16661819	0.000227822	1221864		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-12	PW8	PW8-12a	"PW8-12a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:03:11:24:21.00	-68.82804769	g	15.34259724	0.000203831	1221865		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-13	PW8	PW8-13a	"PW8-13a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:03:11:33:26.00	255.0514668	g	44.75201297	0.000325195	1221866		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-1	PW8	PW8-1a	"PW8-1a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:10:09:41:52.00	-38.96267781	g	-66.49930154	0.000159073	1224660		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-2	PW8	PW8-2a	"PW8-2a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:10:09:48:16.00	233.6502531	g	-52.9006875	0.000239541	1224661		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-4	PW8	PW8-4a	"PW8-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:10:09:55:40.00	209.4832128	g	69.27238161	0.000111943	1224662		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-5	PW8	PW8-5a	"PW8-5a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:10:10:02:03.00	226.115826	g	-12.97807413	0.000174204	1224671		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-10	PW8	PW8-10a	"PW8-10a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:10:10:09:33.00	-4.26409711	g	78.1695393	0.000108138	1224688		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-11	PW8	PW8-11a	"PW8-11a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:10:10:17:00.00	201.1257797	g	69.81065101	0.000224006	1224705		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-12	PW8	PW8-12a	"PW8-12a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:10:10:23:58.00	-66.86431098	g	17.63124993	0.000183054	1224714		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-13	PW8	PW8-13a	"PW8-13a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:10:10:30:27.00	258.1401865	g	42.32278078	0.00024275	1224731		u		0.005		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-1	PW8	PW8-1a	"PW8-1a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:16:11:22:17.00	-29.54820038	g	-61.07479713	9.08E-05	1228665		u		0.015		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-2	PW8	PW8-2a	"PW8-2a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:16:11:29:52.00	244.0540109	g	-50.9323876	0.000159357	1228674		u		0.015		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-4	PW8	PW8-4a	"PW8-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:16:11:37:00.00	215.634706	g	61.05653771	6.70E-05	1228683		u		0.015		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-5	PW8	PW8-5a	"PW8-5a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:16:11:43:29.00	216.3320234	g	-16.00699015	9.84E-05	1228700		u		0.015		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-10	PW8	PW8-10a	"PW8-10a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:16:11:50:59.00	-1.064030067	g	80.09348023	8.60E-05	1228709		u		0.015		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-11	PW8	PW8-11a	"PW8-11a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:16:11:57:12.00	193.7541843	g	70.3065878	0.000207399	1228718		u		0.015		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-12	PW8	PW8-12a	"PW8-12a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:16:12:03:25.00	-65.6899355	g	23.49116755	0.000146027	1228727		u		0.015		
This study	Botswana 2012	Mabogoapitse Hill Sill	PW8-13	PW8	PW8-13a	"PW8-13a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:16:12:09:21.00	263.9300368	g	35.11743041	0.000134037	1228736		u		0.015		
