tab	er_specimens
er_citation_names	er_specimen_name	er_sample_name	er_site_name	er_location_name	specimen_class	specimen_lithology	specimen_type
This study	JP18-2	JP18-2	JP18	Botswana	intrusive	Dolerite	sill
This study	JP18-3	JP18-3	JP18	Botswana	intrusive	Dolerite	sill
This study	JP18-4	JP18-4	JP18	Botswana	intrusive	Dolerite	sill
This study	JP18-5	JP18-5	JP18	Botswana	intrusive	Dolerite	sill
This study	JP18-6	JP18-6	JP18	Botswana	intrusive	Dolerite	sill
This study	JP18-7	JP18-7	JP18	Botswana	intrusive	Dolerite	sill
This study	JP18-8	JP18-8	JP18	Botswana	intrusive	Dolerite	sill
This study	JP18-9	JP18-9	JP18	Botswana	intrusive	Dolerite	sill
This study	JP19-1	JP19-1	JP19	Botswana	intrusive	Dolerite	sill
This study	JP19-2	JP19-2	JP19	Botswana	intrusive	Dolerite	sill
This study	JP19-3	JP19-3	JP19	Botswana	intrusive	Dolerite	sill
This study	JP19-4	JP19-4	JP19	Botswana	intrusive	Dolerite	sill
This study	JP19-5	JP19-5	JP19	Botswana	intrusive	Dolerite	sill
This study	JP19-6	JP19-6	JP19	Botswana	intrusive	Dolerite	sill
This study	JP2-1	JP2-1	JP2	Botswana	intrusive	Dolerite	sill
This study	JP2-2	JP2-2	JP2	Botswana	intrusive	Dolerite	sill
This study	JP2-3	JP2-3	JP2	Botswana	intrusive	Dolerite	sill
This study	JP2-4	JP2-4	JP2	Botswana	intrusive	Dolerite	sill
This study	JP2-5	JP2-5	JP2	Botswana	intrusive	Dolerite	sill
This study	JP2-6	JP2-6	JP2	Botswana	intrusive	Dolerite	sill
This study	JP20-1	JP20-1	JP20	Botswana	intrusive	Dolerite	sill
This study	JP20-10	JP20-10	JP20	Botswana	intrusive	Dolerite	sill
This study	JP20-2	JP20-2	JP20	Botswana	intrusive	Dolerite	sill
This study	JP20-3	JP20-3	JP20	Botswana	intrusive	Dolerite	sill
This study	JP20-4	JP20-4	JP20	Botswana	intrusive	Dolerite	sill
This study	JP20-5	JP20-5	JP20	Botswana	intrusive	Dolerite	sill
This study	JP20-6	JP20-6	JP20	Botswana	intrusive	Dolerite	sill
This study	JP20-7	JP20-7	JP20	Botswana	intrusive	Dolerite	sill
This study	JP20-8	JP20-8	JP20	Botswana	intrusive	Dolerite	sill
This study	JP20-9	JP20-9	JP20	Botswana	intrusive	Dolerite	sill
This study	JP21-1	JP21-1	JP21	Botswana	intrusive	Dolerite	sill
This study	JP21-10	JP21-10	JP21	Botswana	intrusive	Dolerite	sill
This study	JP21-2	JP21-2	JP21	Botswana	intrusive	Dolerite	sill
This study	JP21-3	JP21-3	JP21	Botswana	intrusive	Dolerite	sill
This study	JP21-4	JP21-4	JP21	Botswana	intrusive	Dolerite	sill
This study	JP21-5	JP21-5	JP21	Botswana	intrusive	Dolerite	sill
This study	JP21-6	JP21-6	JP21	Botswana	intrusive	Dolerite	sill
This study	JP21-7	JP21-7	JP21	Botswana	intrusive	Dolerite	sill
This study	JP21-8	JP21-8	JP21	Botswana	intrusive	Dolerite	sill
This study	JP21-9	JP21-9	JP21	Botswana	intrusive	Dolerite	sill
This study	JP22-1	JP22-1	JP22	Botswana	intrusive	Dolerite	sill
This study	JP22-2	JP22-2	JP22	Botswana	intrusive	Dolerite	sill
This study	JP22-3	JP22-3	JP22	Botswana	intrusive	Dolerite	sill
This study	JP22-4	JP22-4	JP22	Botswana	intrusive	Dolerite	sill
This study	JP22-5	JP22-5	JP22	Botswana	intrusive	Dolerite	sill
This study	JP22-6	JP22-6	JP22	Botswana	intrusive	Dolerite	sill
This study	JP22-7	JP22-7	JP22	Botswana	intrusive	Dolerite	sill
This study	JP23-1	JP23-1	JP23	Botswana	intrusive	Dolerite	sill
This study	JP23-2	JP23-2	JP23	Botswana	intrusive	Dolerite	sill
This study	JP23-3	JP23-3	JP23	Botswana	intrusive	Dolerite	sill
This study	JP23-4	JP23-4	JP23	Botswana	intrusive	Dolerite	sill
This study	JP23-5	JP23-5	JP23	Botswana	intrusive	Dolerite	sill
This study	JP24-1	JP24-1	JP24	Botswana	intrusive	Dolerite	sill
This study	JP24-2	JP24-2	JP24	Botswana	intrusive	Dolerite	sill
This study	JP24-3	JP24-3	JP24	Botswana	intrusive	Dolerite	sill
This study	JP24-4	JP24-4	JP24	Botswana	intrusive	Dolerite	sill
This study	JP24-5	JP24-5	JP24	Botswana	intrusive	Dolerite	sill
This study	JP24-6	JP24-6	JP24	Botswana	intrusive	Dolerite	sill
This study	JP26-1	JP26-1	JP26	Botswana	intrusive	Dolerite	sill
This study	JP26-2	JP26-2	JP26	Botswana	intrusive	Dolerite	sill
This study	JP26-3	JP26-3	JP26	Botswana	intrusive	Dolerite	sill
This study	JP26-4	JP26-4	JP26	Botswana	intrusive	Dolerite	sill
This study	JP26-5	JP26-5	JP26	Botswana	intrusive	Dolerite	sill
This study	JP26-6	JP26-6	JP26	Botswana	intrusive	Dolerite	sill
This study	JP26-7	JP26-7	JP26	Botswana	intrusive	Dolerite	sill
This study	JP27-1	JP27-1	JP27	Botswana	intrusive	Dolerite	sill
This study	JP27-2	JP27-2	JP27	Botswana	intrusive	Dolerite	sill
This study	JP27-3	JP27-3	JP27	Botswana	intrusive	Dolerite	sill
This study	JP27-4	JP27-4	JP27	Botswana	intrusive	Dolerite	sill
This study	JP27-5	JP27-5	JP27	Botswana	intrusive	Dolerite	sill
This study	JP27-6	JP27-6	JP27	Botswana	intrusive	Dolerite	sill
This study	JP27-7	JP27-7	JP27	Botswana	intrusive	Dolerite	sill
This study	JP29-1	JP29-1	JP29	Botswana	intrusive	Dolerite	sill
This study	JP29-2	JP29-2	JP29	Botswana	intrusive	Dolerite	sill
This study	JP29-3	JP29-3	JP29	Botswana	intrusive	Dolerite	sill
This study	JP29-4	JP29-4	JP29	Botswana	intrusive	Dolerite	sill
This study	JP29-5	JP29-5	JP29	Botswana	intrusive	Dolerite	sill
