tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-1	PW25	PW25-1a	"PW25-1a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:07:10:00:52.00	-180.9875052	g	42.13542513	3.55E-05	1186974		u				
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-2	PW25	PW25-2a	"PW25-2a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:07:10:10:09.00	-182.6025311	g	35.15433108	2.41E-05	1187007		u				
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-3	PW25	PW25-3a	"PW25-3a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:07:10:19:58.00	-78.63505047	g	72.26746602	9.22E-07	1187032		u				
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-4	PW25	PW25-4a	"PW25-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:07:10:29:47.00	224.5713316	g	38.85180016	1.83E-06	1187065		u				
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-8	PW25	PW25-8a	"PW25-8a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:07:10:37:38.00	20.56426002	g	86.32774913	3.69E-05	1187098		u				
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-9	PW25	PW25-9a	"PW25-9a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:07:10:45:28.00	243.7216118	g	25.1771318	1.30E-05	1187123		u				
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-10	PW25	PW25-10a	"PW25-10a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:07:10:54:50.00	199.911638	g	39.64530369	5.20E-05	1187156		u				
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-11	PW25	PW25-11a	"PW25-11a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:07:11:03:23.00	-40.75114582	g	64.43592883	3.80E-05	1187189		u				
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-1	PW25	PW25-1a	"PW25-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:04:25:09:47:56.00	-186.399005	g	38.19871631	1.38E-05	1234621	0.067	u				77
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-2	PW25	PW25-2a	"PW25-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:04:25:09:48:10.00	-187.215085	g	31.96710687	1.09E-05	1234622	0.267	u				77
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-3	PW25	PW25-3a	"PW25-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:04:25:09:48:24.00	-72.12454825	g	71.36291088	4.58E-07	1234623	0.467	u				77
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-4	PW25	PW25-4a	"PW25-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:04:25:09:48:39.00	223.4898105	g	36.04842128	8.09E-07	1234624	0.667	u				77
