tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-10	PW25	70.6	10	262.86	pmag core	-22		-22.8955	26.3673
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-11	PW25	34.4	10	262.86	pmag core	-24		-22.8955	26.3673
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-12	PW25	38.2	10	262.86	pmag core	-27		-22.8955	26.3673
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-13	PW25	278.1	10	262.86	pmag core	-20		-22.8955	26.3673
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-14	PW25	342.8	10	262.86	pmag core	-26		-22.8955	26.3673
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-1	PW25	214.5	10	262.86	pmag core	-28		-22.8955	26.3673
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-2	PW25	176.1	10	262.86	pmag core	-22		-22.8955	26.3673
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-3	PW25	216.8	10	262.86	pmag core	-33		-22.8955	26.3673
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-4	PW25	297.5	10	262.86	pmag core	-20		-22.8955	26.3673
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-5	PW25	98.8	10	262.86	pmag core	-23		-22.8955	26.3673
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-6	PW25	64.5	10	262.86	pmag core	-21		-22.8955	26.3673
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-7	PW25	347	10	262.86	pmag core	-16		-22.8955	26.3673
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-8	PW25	335.9	10	262.86	pmag core	-18		-22.8955	26.3673
This study	Botswana 2012	Mosolotsane 6 Sill	PW25-9	PW25	61.7	10	262.86	pmag core	-31		-22.8955	26.3673
