tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Masama 3 Sill	PW37-10	PW37	54.2	8	10.43	pmag core	-18		-23.8141	26.7334
This study	Botswana 2012	Masama 3 Sill	PW37-1	PW37	112.4	8	10.43	pmag core	-18		-23.8141	26.7334
This study	Botswana 2012	Masama 3 Sill	PW37-2	PW37	70.8	8	10.43	pmag core	-17		-23.8141	26.7334
This study	Botswana 2012	Masama 3 Sill	PW37-3	PW37	214.2	8	10.43	pmag core	-18		-23.8141	26.7334
This study	Botswana 2012	Masama 3 Sill	PW37-4	PW37	217.9	8	10.43	pmag core	-14		-23.8141	26.7334
This study	Botswana 2012	Masama 3 Sill	PW37-5	PW37	147.1	8	10.43	pmag core	-13		-23.8141	26.7334
This study	Botswana 2012	Masama 3 Sill	PW37-6	PW37	121.7	8	10.43	pmag core	-13		-23.8141	26.7334
This study	Botswana 2012	Masama 3 Sill	PW37-7	PW37	61.3	8	10.43	pmag core	-10		-23.8141	26.7334
This study	Botswana 2012	Masama 3 Sill	PW37-8	PW37	74.5	8	10.43	pmag core	-19		-23.8141	26.7334
This study	Botswana 2012	Masama 3 Sill	PW37-9	PW37	65.6	8	10.43	pmag core	-22		-23.8141	26.7334
