tab 	magic_measurements																			
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Masama 3 Sill	PW35-2	PW35	PW35-2a	"PW35-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:13:10:50:48.00	66.5559615	g	20.30833906	6.24E-06	1205408	0.067	u				
This study	Botswana 2012	Masama 3 Sill	PW35-3	PW35	PW35-3a	"PW35-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:13:10:51:02.00	32.14714809	g	35.73954327	7.73E-06	1205409	0.267	u				
This study	Botswana 2012	Masama 3 Sill	PW35-4	PW35	PW35-4a	"PW35-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:13:10:51:16.00	1.208319687	g	7.150863252	3.77E-06	1205410	0.467	u				
This study	Botswana 2012	Masama 3 Sill	PW35-6	PW35	PW35-6a	"PW35-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:13:10:51:30.00	47.72108634	g	-3.323046557	4.00E-06	1205411	0.667	u				
This study	Botswana 2012	Masama 3 Sill	PW35-8	PW35	PW35-8a	"PW35-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:13:10:51:45.00	-4.61949161	g	-2.034087201	3.19E-06	1205412	0.867	u				
This study	Botswana 2012	Masama 3 Sill	PW35-2	PW35	PW35-2a	"PW35-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:04:26:08:47:15.00	65.75413024	g	10.39978661	4.89E-06	1235098	0.067	u				77
This study	Botswana 2012	Masama 3 Sill	PW35-3	PW35	PW35-3a	"PW35-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:04:26:08:47:29.00	32.01743703	g	22.34280813	6.25E-06	1235099	0.267	u				77
This study	Botswana 2012	Masama 3 Sill	PW35-4	PW35	PW35-4a	"PW35-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:04:26:08:47:43.00	-2.480462184	g	3.053542987	3.94E-06	1235100	0.467	u				77
This study	Botswana 2012	Masama 3 Sill	PW35-6	PW35	PW35-6a	"PW35-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:04:26:08:47:57.00	47.81257591	g	-2.963768968	4.02E-06	1235101	0.667	u				77
This study	Botswana 2012	Masama 3 Sill	PW35-8	PW35	PW35-8a	"PW35-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:04:26:08:48:11.00	-6.230570598	g	0.245775729	3.17E-06	1235102	0.867	u				77
This study	Botswana 2012	Masama 3 Sill	PW35-2	PW35	PW35-2a	"PW35-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:26:08:56:06.00	65.79504482	g	10.34491362	4.90E-06	1235103	0.067	u		0.001		
This study	Botswana 2012	Masama 3 Sill	PW35-3	PW35	PW35-3a	"PW35-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:26:08:56:21.00	31.97083617	g	22.16218179	6.25E-06	1235104	0.267	u		0.001		
This study	Botswana 2012	Masama 3 Sill	PW35-4	PW35	PW35-4a	"PW35-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:26:08:56:36.00	-2.553943012	g	2.936417647	3.94E-06	1235105	0.467	u		0.001		
This study	Botswana 2012	Masama 3 Sill	PW35-6	PW35	PW35-6a	"PW35-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:26:08:56:51.00	47.896559	g	-3.031646699	4.03E-06	1235106	0.667	u		0.001		
This study	Botswana 2012	Masama 3 Sill	PW35-8	PW35	PW35-8a	"PW35-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:26:08:57:06.00	-6.251419474	g	0.174634506	3.17E-06	1235107	0.867	u		0.001		
