tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Phage Sill	PW29-10	PW29	301.6	10	270.02	pmag core	-17		-22.7794	26.3937
This study	Botswana 2012	Phage Sill	PW29-11	PW29	297.3	10	270.02	pmag core	-18		-22.7794	26.3937
This study	Botswana 2012	Phage Sill	PW29-12	PW29	307	10	270.02	pmag core	-14		-22.7794	26.3937
This study	Botswana 2012	Phage Sill	PW29-1	PW29	79.3	10	270.02	pmag core	-22		-22.7794	26.3937
This study	Botswana 2012	Phage Sill	PW29-2	PW29	93.2	10	270.02	pmag core	-16		-22.7794	26.3937
This study	Botswana 2012	Phage Sill	PW29-3	PW29	127.5	10	270.02	pmag core	-21		-22.7794	26.3937
This study	Botswana 2012	Phage Sill	PW29-4	PW29	51.4	10	270.02	pmag core	-17		-22.7794	26.3937
This study	Botswana 2012	Phage Sill	PW29-5	PW29	92.3	10	270.02	pmag core	-16		-22.7794	26.3937
This study	Botswana 2012	Phage Sill	PW29-6	PW29	320.6	10	270.02	pmag core	-17		-22.7794	26.3937
This study	Botswana 2012	Phage Sill	PW29-7	PW29	331.3	10	270.02	pmag core	-13		-22.7794	26.3937
This study	Botswana 2012	Phage Sill	PW29-8	PW29	37.7	10	270.02	pmag core	-18		-22.7794	26.3937
This study	Botswana 2012	Phage Sill	PW29-9	PW29	337.2	10	270.02	pmag core	-14		-22.7794	26.3937
