tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Phage Sill	PW29-3	PW29	PW29-3a	"PW29-3a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:13:15:15:31.00	185.5886798	g	45.14095473	1.22E-05	1205602		u				
This study	Botswana 2012	Phage Sill	PW29-4	PW29	PW29-4a	"PW29-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:13:15:22:31.00	259.5312086	g	7.553377129	3.38E-05	1205603		u				
This study	Botswana 2012	Phage Sill	PW29-5	PW29	PW29-5a	"PW29-5a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:13:15:29:27.00	212.0982576	g	52.89018409	5.28E-05	1205604		u				
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:13:15:37:35.00	-66.7814702	g	25.79483605	0.000146548	1205605		u				
This study	Botswana 2012	Phage Sill	PW29-7	PW29	PW29-7a	"PW29-7a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:13:15:57:24.00	-62.01958917	g	-37.3034636	8.83E-05	1205606		u				
This study	Botswana 2012	Phage Sill	PW29-8	PW29	PW29-8a	"PW29-8a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:13:16:09:09.00	249.1956487	g	-37.56942701	6.77E-05	1205615		u				
This study	Botswana 2012	Phage Sill	PW29-9	PW29	PW29-9a	"PW29-9a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:13:16:17:43.00	-71.53061982	g	-26.53468586	3.86E-05	1205632		u				
This study	Botswana 2012	Phage Sill	PW29-10	PW29	PW29-10a	"PW29-10a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:03:13:16:23:33.00	-51.28274308	g	29.81829769	1.17E-05	1205641		u				
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:28:11:01:45.00	-63.65885193	g	24.54281014	7.08E-05	1220126		u				77
This study	Botswana 2012	Phage Sill	PW29-7	PW29	PW29-7a	"PW29-7a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:28:11:12:24.00	-63.30640416	g	-39.70566638	4.27E-05	1220127		u				77
This study	Botswana 2012	Phage Sill	PW29-8	PW29	PW29-8a	"PW29-8a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:28:11:27:47.00	248.4507101	g	-38.16089463	3.16E-05	1220128		u				77
This study	Botswana 2012	Phage Sill	PW29-9	PW29	PW29-9a	"PW29-9a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:28:11:38:00.00	-68.25857426	g	-31.45610081	1.67E-05	1220129		u				77
This study	Botswana 2012	Phage Sill	PW29-10	PW29	PW29-10a	"PW29-10a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:28:11:47:47.00	-54.84099947	g	27.58797437	5.14E-06	1220130		u				77
This study	Botswana 2012	Phage Sill	PW29-3	PW29	PW29-3a	"PW29-3a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:28:11:57:30.00	186.6496419	g	52.23188586	3.97E-06	1220131		u				77
This study	Botswana 2012	Phage Sill	PW29-4	PW29	PW29-4a	"PW29-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:28:12:06:53.00	265.2897555	g	4.752644547	1.47E-05	1220132		u				77
This study	Botswana 2012	Phage Sill	PW29-5	PW29	PW29-5a	"PW29-5a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:03:28:12:15:36.00	211.5435175	g	53.17062881	2.46E-05	1220133		u				77
This study	Botswana 2012	Phage Sill	PW29-3	PW29	PW29-3a	"PW29-3a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:04:14:07:06.00	182.2766653	g	60.51682147	2.77E-06	1222314		u		0.005		
This study	Botswana 2012	Phage Sill	PW29-4	PW29	PW29-4a	"PW29-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:04:14:16:46.00	-89.21408983	g	4.094865005	1.27E-05	1222318		u		0.005		
This study	Botswana 2012	Phage Sill	PW29-5	PW29	PW29-5a	"PW29-5a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:04:14:28:43.00	206.2034273	g	55.04181568	2.31E-05	1222326		u		0.005		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:04:14:45:19.00	-65.33628135	g	26.25800188	6.66E-05	1222327		u		0.005		
This study	Botswana 2012	Phage Sill	PW29-7	PW29	PW29-7a	"PW29-7a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:04:14:58:47.00	-59.57863649	g	-38.76725381	3.92E-05	1222328		u		0.005		
This study	Botswana 2012	Phage Sill	PW29-8	PW29	PW29-8a	"PW29-8a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:04:15:22:28.00	247.9334017	g	-39.36128948	2.78E-05	1222345		u		0.005		
This study	Botswana 2012	Phage Sill	PW29-9	PW29	PW29-9a	"PW29-9a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:04:15:32:58.00	-66.55790317	g	-32.71681767	1.48E-05	1222370		u		0.005		
This study	Botswana 2012	Phage Sill	PW29-10	PW29	PW29-10a	"PW29-10a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:04:15:41:30.00	-56.23690407	g	29.01614651	4.19E-06	1222387		u		0.005		
This study	Botswana 2012	Phage Sill	PW29-3	PW29	PW29-3a	"PW29-3a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:10:15:03.00	11.2698969	g	37.22887903	5.22E-07	1225225		u		0.01		
This study	Botswana 2012	Phage Sill	PW29-4	PW29	PW29-4a	"PW29-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:10:23:44.00	-67.96109055	g	-5.782276641	6.48E-06	1225226		u		0.01		
This study	Botswana 2012	Phage Sill	PW29-5	PW29	PW29-5a	"PW29-5a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:10:32:02.00	204.6494117	g	53.46906574	1.13E-05	1225227		u		0.01		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:10:42:24.00	-60.16461748	g	26.6340917	4.60E-05	1225228		u		0.01		
This study	Botswana 2012	Phage Sill	PW29-7	PW29	PW29-7a	"PW29-7a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:10:49:24.00	-57.83578529	g	-40.02121776	2.21E-05	1225229		u		0.01		
This study	Botswana 2012	Phage Sill	PW29-8	PW29	PW29-8a	"PW29-8a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:10:56:36.00	247.1096803	g	-40.41340594	1.36E-05	1225238		u		0.01		
This study	Botswana 2012	Phage Sill	PW29-9	PW29	PW29-9a	"PW29-9a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:11:04:06.00	-60.70684514	g	-36.12783292	6.60E-06	1225239		u		0.01		
This study	Botswana 2012	Phage Sill	PW29-10	PW29	PW29-10a	"PW29-10a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:11:10:21.00	-54.90252186	g	26.9642223	2.10E-06	1225240		u		0.01		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:16:16:40:31.00	-60.21580493	g	28.03119721	2.45E-05	1229077		u		0.015		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:23:13:32:27.00	-72.09234391	g	29.36892613	1.02E-05	1233676	0.867	u		0.02		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:23:13:38:06.00	-72.26128806	g	29.31252682	5.80E-06	1233684	0.867	u		0.025		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:23:13:43:46.00	-73.97127466	g	29.25270195	3.01E-06	1233690	0.867	u		0.03		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:23:13:53:24.00	-78.43603192	g	27.43819363	1.27E-06	1233697	0.867	u		0.04		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:23:13:59:50.00	268.4434498	g	22.82548946	5.67E-07	1233703	0.867	u		0.05		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:23:14:05:52.00	254.3372448	g	14.91236033	2.85E-07	1233710	0.867	u		0.06		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:23:14:43:13.00	246.8890944	g	7.016659141	1.95E-07	1233718	0.867	u		0.07		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:23:14:50:00.00	236.2489966	g	2.842868933	1.45E-07	1233725	0.867	u		0.08		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:23:14:56:27.00	239.1894753	g	-2.505920501	1.23E-07	1233731	0.867	u		0.09		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:23:15:03:34.00	218.9632744	b	3.190787423	1.30E-07	1233738	0.867	u		0.1		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:23:15:10:29.00	231.5986569	g	8.277304852	7.74E-08	1233744	0.867	u		0.12		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:23:15:17:42.00	227.3557158	g	-1.222971206	5.90E-08	1233751	0.867	u		0.14		
This study	Botswana 2012	Phage Sill	PW29-6	PW29	PW29-6a	"PW29-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:23:15:25:24.00	257.6821564	g	2.826640327	6.01E-08	1233758	0.867	u		0.17		
This study	Botswana 2012	Phage Sill	PW29-3	PW29	PW29-3a	"PW29-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:24:08:03:06.00	15.71589098	g	15.98373992	2.98E-07	1233998	0.067	u		0.015		
This study	Botswana 2012	Phage Sill	PW29-4	PW29	PW29-4a	"PW29-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:24:08:03:20.00	-79.26479286	g	-9.611199809	2.11E-06	1233999	0.267	u		0.015		
This study	Botswana 2012	Phage Sill	PW29-5	PW29	PW29-5a	"PW29-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:24:08:03:35.00	198.9837964	g	51.34770133	4.17E-06	1234000	0.467	u		0.015		
This study	Botswana 2012	Phage Sill	PW29-7	PW29	PW29-7a	"PW29-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:24:08:03:50.00	-67.88809086	g	-40.62059165	9.49E-06	1234001	0.667	u		0.015		
This study	Botswana 2012	Phage Sill	PW29-8	PW29	PW29-8a	"PW29-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:24:08:04:05.00	241.2772319	g	-38.07885216	5.90E-06	1234002	0.867	u		0.015		
This study	Botswana 2012	Phage Sill	PW29-9	PW29	PW29-9a	"PW29-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:24:08:04:20.00	-78.93644851	g	-36.41008248	2.24E-06	1234003	1.067	u		0.015		
This study	Botswana 2012	Phage Sill	PW29-10	PW29	PW29-10a	"PW29-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:24:08:04:35.00	-73.64270303	g	25.48757519	1.02E-06	1234004	1.267	u		0.015		
This study	Botswana 2012	Phage Sill	PW29-3	PW29	PW29-3a	"PW29-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:24:08:10:28.00	39.64966714	g	25.18481608	2.38E-07	1234005	0.067	u		0.02		
