tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Mosolotsane 3 Sill	PW26-10	PW26	191.1	10	262.88	pmag core	-19		-22.8926	26.3811
This study	Botswana 2012	Mosolotsane 3 Sill	PW26-11	PW26	146.9	10	262.88	pmag core	-30		-22.8926	26.3811
This study	Botswana 2012	Mosolotsane 3 Sill	PW26-12	PW26	66.7	10	262.88	pmag core	-12		-22.8926	26.3811
This study	Botswana 2012	Mosolotsane 3 Sill	PW26-1	PW26	253.6	10	262.88	pmag core	-17		-22.8926	26.3811
This study	Botswana 2012	Mosolotsane 3 Sill	PW26-2	PW26	60.1	10	262.88	pmag core	-20		-22.8926	26.3811
This study	Botswana 2012	Mosolotsane 3 Sill	PW26-3	PW26	43.8	10	262.88	pmag core	-19		-22.8926	26.3811
This study	Botswana 2012	Mosolotsane 3 Sill	PW26-4	PW26	89.1	10	262.88	pmag core	-19		-22.8926	26.3811
This study	Botswana 2012	Mosolotsane 3 Sill	PW26-5	PW26	354.4	10	262.88	pmag core	-13		-22.8926	26.3811
This study	Botswana 2012	Mosolotsane 3 Sill	PW26-6	PW26	158.6	10	262.88	pmag core	-16		-22.8926	26.3811
This study	Botswana 2012	Mosolotsane 3 Sill	PW26-7	PW26	88.5	10	262.88	pmag core	-15		-22.8926	26.3811
This study	Botswana 2012	Mosolotsane 3 Sill	PW26-8	PW26	131.9	10	262.88	pmag core	-12		-22.8926	26.3811
This study	Botswana 2012	Mosolotsane 3 Sill	PW26-9	PW26	180.5	10	262.88	pmag core	-28		-22.8926	26.3811
