tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Botswana 2012	Mosolotsane 3 Sill	PW26-10	PW26	PW26-10a	"PW26-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.700e-01	4.000e-02	T		u	23.5	321.5	l	23.6	7.2	10	-1
	This study	Botswana 2012	Mosolotsane 3 Sill	PW26-10	PW26	PW26-10a	"PW26-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.700e-01	4.000e-02	T		u	23.5	155.9	l	8.4	7.2	10	0
	This study	Botswana 2012	Mosolotsane 3 Sill	PW26-10	PW26	PW26-10a	"PW26-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	1.700e-01	4.000e-02	T		u	23.5	157.5	l	11.1	7.2	10	100
	This study	Botswana 2012	Mosolotsane 3 Sill	PW26-2	PW26	PW26-2a	"PW26-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.700e-01	8.000e-02	T		u	29.6	179.7	l	3.9	15.7	6	-1
	This study	Botswana 2012	Mosolotsane 3 Sill	PW26-2	PW26	PW26-2a	"PW26-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.700e-01	8.000e-02	T		u	29.6	239.8	l	23.9	15.7	6	0
	This study	Botswana 2012	Mosolotsane 3 Sill	PW26-2	PW26	PW26-2a	"PW26-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	1.700e-01	8.000e-02	T		u	29.6	241.2	l	14.7	15.7	6	100
	This study	Botswana 2012	Mosolotsane 3 Sill	PW26-3	PW26	PW26-3a	"PW26-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.700e-01	2.500e-02	T		u	1.8	143.4	l	-19.5	7.4	12	-1
	This study	Botswana 2012	Mosolotsane 3 Sill	PW26-3	PW26	PW26-3a	"PW26-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.700e-01	2.500e-02	T		u	1.8	189.5	l	-4.0	7.4	12	0
	This study	Botswana 2012	Mosolotsane 3 Sill	PW26-3	PW26	PW26-3a	"PW26-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	1.700e-01	2.500e-02	T		u	1.8	188.6	l	-6.7	7.4	12	100
	This study	Botswana 2012	Mosolotsane 3 Sill	PW26-4	PW26	PW26-4a	"PW26-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.700e-01	5.000e-02	T		u	18.9	110.7	l	12.5	19.0	9	-1
