tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW19-10	PW19	162.2	4	290.1	pmag core	-24		-24.3761	25.4684
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW19-11	PW19	135.6	4	290.1	pmag core	-13		-24.3761	25.4684
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW19-12	PW19	213.4	4	290.1	pmag core	-15		-24.3761	25.4684
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW19-13	PW19	203	4	290.1	pmag core	-18		-24.3761	25.4684
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW19-1	PW19	221.4	4	290.1	pmag core	-82		-24.3761	25.4684
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW19-2	PW19	296.5	4	290.1	pmag core	-30		-24.3761	25.4684
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW19-3	PW19	285.6	4	290.1	pmag core	-32		-24.3761	25.4684
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW19-4	PW19	226.4	4	290.1	pmag core	-19		-24.3761	25.4684
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW19-5	PW19	261.1	4	290.1	pmag core	-51		-24.3761	25.4684
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW19-6	PW19	156.7	4	290.1	pmag core	-26		-24.3761	25.4684
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW19-8	PW19	327.9	4	290.1	pmag core	-10		-24.3761	25.4684
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW19-9	PW19	184.6	4	290.1	pmag core	-22		-24.3761	25.4684
