tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Ranku Hill Sill	PW4-10	PW4	43	5	36.62	pmag core	-14		-24.6906	25.774
This study	Botswana 2012	Ranku Hill Sill	PW4-11	PW4	41.3	5	36.62	pmag core	-14		-24.6906	25.774
This study	Botswana 2012	Ranku Hill Sill	PW4-12	PW4	69.6	5	36.62	pmag core	-15		-24.6906	25.774
This study	Botswana 2012	Ranku Hill Sill	PW4-13	PW4	75.9	5	36.62	pmag core	-15		-24.6906	25.774
This study	Botswana 2012	Ranku Hill Sill	PW4-14	PW4	52.2	5	36.62	pmag core	-11		-24.6906	25.774
This study	Botswana 2012	Ranku Hill Sill	PW4-1	PW4	52.8	5	36.62	pmag core	-4		-24.6906	25.774
This study	Botswana 2012	Ranku Hill Sill	PW4-2	PW4	60.9	5	36.62	pmag core	-16		-24.6906	25.774
This study	Botswana 2012	Ranku Hill Sill	PW4-3	PW4	191.2	5	36.62	pmag core	-13		-24.6906	25.774
This study	Botswana 2012	Ranku Hill Sill	PW4-4	PW4	244.1	5	36.62	pmag core	-19		-24.6906	25.774
This study	Botswana 2012	Ranku Hill Sill	PW4-5	PW4	58	5	36.62	pmag core	-47		-24.6906	25.774
This study	Botswana 2012	Ranku Hill Sill	PW4-6	PW4	218.7	5	36.62	pmag core	-17		-24.6906	25.774
This study	Botswana 2012	Ranku Hill Sill	PW4-7	PW4	241.9	5	36.62	pmag core	-16		-24.6906	25.774
This study	Botswana 2012	Ranku Hill Sill	PW4-8	PW4	249.8	5	36.62	pmag core	-10		-24.6906	25.774
This study	Botswana 2012	Ranku Hill Sill	PW4-9	PW4	25	5	36.62	pmag core	-13		-24.6906	25.774
