tab 	er_specimens
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_volume	specimen_weight
This study	Botswana 2012	Masama 2 Sill	PW36-10	PW36	PW36-10a	0	0.0054695
This study	Botswana 2012	Masama 2 Sill	PW36-10	PW36	PW36-10b	0	0.0057279
This study	Botswana 2012	Masama 2 Sill	PW36-11	PW36	PW36-11a	0	0.0045217
This study	Botswana 2012	Masama 2 Sill	PW36-11	PW36	PW36-11b	0	0.00567
This study	Botswana 2012	Masama 2 Sill	PW36-12	PW36	PW36-12a	0	0.0047494
This study	Botswana 2012	Masama 2 Sill	PW36-12	PW36	PW36-12b	0	0.0052909
This study	Botswana 2012	Masama 2 Sill	PW36-13	PW36	PW36-13a	0	0.0047137
This study	Botswana 2012	Masama 2 Sill	PW36-13	PW36	PW36-13b	0	0.0049838
This study	Botswana 2012	Masama 2 Sill	PW36-14	PW36	PW36-14a	0	0.0043669
This study	Botswana 2012	Masama 2 Sill	PW36-14	PW36	PW36-14b	0	0.0060006
This study	Botswana 2012	Masama 2 Sill	PW36-15	PW36	PW36-15a	0	0.0046446
This study	Botswana 2012	Masama 2 Sill	PW36-15	PW36	PW36-15b	0	0.0052824
This study	Botswana 2012	Masama 2 Sill	PW36-16	PW36	PW36-16a	0	0.0050639
This study	Botswana 2012	Masama 2 Sill	PW36-16	PW36	PW36-16b	0	0.0057692
This study	Botswana 2012	Masama 2 Sill	PW36-17	PW36	PW36-17a	0	0.0046895
This study	Botswana 2012	Masama 2 Sill	PW36-17	PW36	PW36-17b	0	0.0051715
This study	Botswana 2012	Masama 2 Sill	PW36-18	PW36	PW36-18a	0	0.004675
This study	Botswana 2012	Masama 2 Sill	PW36-18	PW36	PW36-18b	0	0.0051269
This study	Botswana 2012	Masama 2 Sill	PW36-19	PW36	PW36-19a	0	0.0045331
This study	Botswana 2012	Masama 2 Sill	PW36-19	PW36	PW36-19b	0	0.0054182
This study	Botswana 2012	Masama 2 Sill	PW36-1	PW36	PW36-1a	0	0.0041156
This study	Botswana 2012	Masama 2 Sill	PW36-1	PW36	PW36-1b	0	0.0060352
This study	Botswana 2012	Masama 2 Sill	PW36-20	PW36	PW36-20a	0	0.004602
This study	Botswana 2012	Masama 2 Sill	PW36-20	PW36	PW36-20b	0	0.0053443
This study	Botswana 2012	Masama 2 Sill	PW36-2	PW36	PW36-2a	0	0.0047997
This study	Botswana 2012	Masama 2 Sill	PW36-2	PW36	PW36-2b	0	0.0049671
This study	Botswana 2012	Masama 2 Sill	PW36-3	PW36	PW36-3a	0	0.0047038
This study	Botswana 2012	Masama 2 Sill	PW36-3	PW36	PW36-3b	0	0.0045694
This study	Botswana 2012	Masama 2 Sill	PW36-4	PW36	PW36-4a	0	0.0041736
This study	Botswana 2012	Masama 2 Sill	PW36-5	PW36	PW36-5a	0	0.0049059
This study	Botswana 2012	Masama 2 Sill	PW36-5	PW36	PW36-5b	0	0.0054462
This study	Botswana 2012	Masama 2 Sill	PW36-5	PW36	PW36-5c	0	0.0001012
This study	Botswana 2012	Masama 2 Sill	PW36-6	PW36	PW36-6a	0	0.0054275
This study	Botswana 2012	Masama 2 Sill	PW36-6	PW36	PW36-6b	0	0.0057668
This study	Botswana 2012	Masama 2 Sill	PW36-7	PW36	PW36-7a	0	0.0050045
This study	Botswana 2012	Masama 2 Sill	PW36-7	PW36	PW36-7b	0	0.0043872
This study	Botswana 2012	Masama 2 Sill	PW36-8	PW36	PW36-8a	0	0.0051724
This study	Botswana 2012	Masama 2 Sill	PW36-8	PW36	PW36-8b	0	0.0054639
This study	Botswana 2012	Masama 2 Sill	PW36-9	PW36	PW36-9a	0	0.0049607
This study	Botswana 2012	Masama 2 Sill	PW36-9	PW36	PW36-9b	0	0.0048099
