tab 	magic_measurements																			
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Masama 1 Sill	PW34-9	PW34	PW34-9a	"PW34-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:17:58:59.00	263.6277364	g	-21.94430785	7.95E-06	1231253	1.467	u		0.001		
This study	Botswana 2012	Masama 1 Sill	PW34-1	PW34	PW34-1a	"PW34-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:02:31.00	-231.6957931	g	-69.45098374	1.08E-05	1231254	0.067	u		0.0015		
This study	Botswana 2012	Masama 1 Sill	PW34-2	PW34	PW34-2a	"PW34-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:02:47.00	57.61038427	g	-56.69230759	1.75E-05	1231255	0.267	u		0.0015		
This study	Botswana 2012	Masama 1 Sill	PW34-3	PW34	PW34-3a	"PW34-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:03:02.00	26.40381291	g	-51.58218407	1.70E-05	1231256	0.467	u		0.0015		
This study	Botswana 2012	Masama 1 Sill	PW34-5	PW34	PW34-5a	"PW34-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:03:17.00	65.19482814	g	-16.25281455	5.85E-06	1231257	0.667	u		0.0015		
This study	Botswana 2012	Masama 1 Sill	PW34-6	PW34	PW34-6a	"PW34-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:03:32.00	75.18322499	g	-19.14368077	5.62E-06	1231258	0.867	u		0.0015		
This study	Botswana 2012	Masama 1 Sill	PW34-7	PW34	PW34-7a	"PW34-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:03:48.00	-13.35283278	g	-10.47921598	6.42E-06	1231259	1.067	u		0.0015		
This study	Botswana 2012	Masama 1 Sill	PW34-8	PW34	PW34-8a	"PW34-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:04:03.00	-227.676271	g	-29.63204277	7.01E-06	1231260	1.267	u		0.0015		
This study	Botswana 2012	Masama 1 Sill	PW34-9	PW34	PW34-9a	"PW34-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:04:18.00	263.7712258	g	-21.87804945	7.95E-06	1231261	1.467	u		0.0015		
This study	Botswana 2012	Masama 1 Sill	PW34-1	PW34	PW34-1a	"PW34-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:07:51.00	-231.5748562	g	-69.33349813	1.08E-05	1231262	0.067	u		0.002		
This study	Botswana 2012	Masama 1 Sill	PW34-2	PW34	PW34-2a	"PW34-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:08:06.00	57.66432783	g	-56.60662771	1.74E-05	1231263	0.267	u		0.002		
This study	Botswana 2012	Masama 1 Sill	PW34-3	PW34	PW34-3a	"PW34-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:08:22.00	26.49541318	g	-51.53394753	1.70E-05	1231264	0.467	u		0.002		
This study	Botswana 2012	Masama 1 Sill	PW34-5	PW34	PW34-5a	"PW34-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:08:37.00	65.43220289	g	-16.35332705	5.85E-06	1231265	0.667	u		0.002		
This study	Botswana 2012	Masama 1 Sill	PW34-6	PW34	PW34-6a	"PW34-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:08:52.00	75.4440148	g	-19.21870112	5.62E-06	1231266	0.867	u		0.002		
This study	Botswana 2012	Masama 1 Sill	PW34-7	PW34	PW34-7a	"PW34-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:09:07.00	-13.22353195	g	-10.46910635	6.42E-06	1231267	1.067	u		0.002		
This study	Botswana 2012	Masama 1 Sill	PW34-8	PW34	PW34-8a	"PW34-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:09:23.00	-227.4456667	g	-29.69280405	7.00E-06	1231268	1.267	u		0.002		
This study	Botswana 2012	Masama 1 Sill	PW34-9	PW34	PW34-9a	"PW34-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:09:38.00	263.9569184	g	-21.85824429	7.94E-06	1231269	1.467	u		0.002		
This study	Botswana 2012	Masama 1 Sill	PW34-1	PW34	PW34-1a	"PW34-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:13:11.00	-231.5093063	g	-69.17357595	1.08E-05	1231270	0.067	u		0.0025		
This study	Botswana 2012	Masama 1 Sill	PW34-2	PW34	PW34-2a	"PW34-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:13:27.00	57.73262484	g	-56.49482631	1.74E-05	1231271	0.267	u		0.0025		
This study	Botswana 2012	Masama 1 Sill	PW34-3	PW34	PW34-3a	"PW34-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:13:42.00	26.57879301	g	-51.41281105	1.70E-05	1231272	0.467	u		0.0025		
This study	Botswana 2012	Masama 1 Sill	PW34-5	PW34	PW34-5a	"PW34-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:13:57.00	65.71861975	g	-16.36413976	5.84E-06	1231273	0.667	u		0.0025		
This study	Botswana 2012	Masama 1 Sill	PW34-6	PW34	PW34-6a	"PW34-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:14:12.00	75.7472958	g	-19.22662814	5.61E-06	1231274	0.867	u		0.0025		
This study	Botswana 2012	Masama 1 Sill	PW34-7	PW34	PW34-7a	"PW34-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:14:27.00	-13.00705691	g	-10.42774919	6.42E-06	1231275	1.067	u		0.0025		
This study	Botswana 2012	Masama 1 Sill	PW34-8	PW34	PW34-8a	"PW34-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:14:43.00	-227.1372371	g	-29.72588219	6.99E-06	1231276	1.267	u		0.0025		
This study	Botswana 2012	Masama 1 Sill	PW34-9	PW34	PW34-9a	"PW34-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:14:58.00	264.1910075	g	-21.77759324	7.93E-06	1231277	1.467	u		0.0025		
This study	Botswana 2012	Masama 1 Sill	PW34-1	PW34	PW34-1a	"PW34-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:18:34.00	-230.3422436	g	-67.48820451	1.05E-05	1231278	0.067	u		0.005		
This study	Botswana 2012	Masama 1 Sill	PW34-2	PW34	PW34-2a	"PW34-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:18:49.00	58.70227885	g	-55.12117302	1.67E-05	1231279	0.267	u		0.005		
This study	Botswana 2012	Masama 1 Sill	PW34-3	PW34	PW34-3a	"PW34-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:19:04.00	27.54862288	g	-50.06454047	1.64E-05	1231280	0.467	u		0.005		
This study	Botswana 2012	Masama 1 Sill	PW34-5	PW34	PW34-5a	"PW34-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:19:20.00	68.71737941	g	-16.38095723	5.69E-06	1231281	0.667	u		0.005		
This study	Botswana 2012	Masama 1 Sill	PW34-6	PW34	PW34-6a	"PW34-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:19:35.00	78.83826531	g	-19.33478569	5.43E-06	1231282	0.867	u		0.005		
This study	Botswana 2012	Masama 1 Sill	PW34-7	PW34	PW34-7a	"PW34-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:19:50.00	-10.48912844	g	-9.793745327	6.28E-06	1231283	1.067	u		0.005		
This study	Botswana 2012	Masama 1 Sill	PW34-8	PW34	PW34-8a	"PW34-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:20:05.00	-224.0112948	g	-29.6840638	6.73E-06	1231284	1.267	u		0.005		
This study	Botswana 2012	Masama 1 Sill	PW34-9	PW34	PW34-9a	"PW34-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:20:20.00	266.6328597	g	-21.04165831	7.63E-06	1231285	1.467	u		0.005		
This study	Botswana 2012	Masama 1 Sill	PW34-1	PW34	PW34-1a	"PW34-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:23:58.00	-228.9763721	g	-63.66698083	9.45E-06	1231286	0.067	u		0.0075		
This study	Botswana 2012	Masama 1 Sill	PW34-2	PW34	PW34-2a	"PW34-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:24:14.00	59.84698703	g	-51.78140655	1.47E-05	1231287	0.267	u		0.0075		
This study	Botswana 2012	Masama 1 Sill	PW34-3	PW34	PW34-3a	"PW34-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:24:29.00	28.98793528	g	-46.56433046	1.45E-05	1231288	0.467	u		0.0075		
This study	Botswana 2012	Masama 1 Sill	PW34-5	PW34	PW34-5a	"PW34-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:24:44.00	74.45562227	g	-16.14758718	5.36E-06	1231289	0.667	u		0.0075		
This study	Botswana 2012	Masama 1 Sill	PW34-6	PW34	PW34-6a	"PW34-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:24:59.00	84.92383671	g	-19.19764091	5.02E-06	1231290	0.867	u		0.0075		
This study	Botswana 2012	Masama 1 Sill	PW34-7	PW34	PW34-7a	"PW34-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:25:14.00	-5.439701623	g	-8.663902573	5.84E-06	1231291	1.067	u		0.0075		
This study	Botswana 2012	Masama 1 Sill	PW34-8	PW34	PW34-8a	"PW34-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:25:30.00	-217.6470301	g	-29.50657114	6.15E-06	1231292	1.267	u		0.0075		
This study	Botswana 2012	Masama 1 Sill	PW34-9	PW34	PW34-9a	"PW34-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:25:45.00	-88.47490735	g	-19.56057838	6.91E-06	1231293	1.467	u		0.0075		
This study	Botswana 2012	Masama 1 Sill	PW34-1	PW34	PW34-1a	"PW34-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:29:25.00	-229.4610242	g	-56.70541875	7.59E-06	1231294	0.067	u		0.01		
This study	Botswana 2012	Masama 1 Sill	PW34-2	PW34	PW34-2a	"PW34-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:29:41.00	58.44087572	g	-45.09323633	1.14E-05	1231295	0.267	u		0.01		
This study	Botswana 2012	Masama 1 Sill	PW34-3	PW34	PW34-3a	"PW34-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:29:56.00	28.60073946	g	-39.50413533	1.07E-05	1231296	0.467	u		0.01		
This study	Botswana 2012	Masama 1 Sill	PW34-5	PW34	PW34-5a	"PW34-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:30:11.00	82.22167368	g	-15.52225665	4.77E-06	1231297	0.667	u		0.01		
This study	Botswana 2012	Masama 1 Sill	PW34-6	PW34	PW34-6a	"PW34-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:30:26.00	-266.1832039	g	-18.54817714	4.32E-06	1231298	0.867	u		0.01		
This study	Botswana 2012	Masama 1 Sill	PW34-7	PW34	PW34-7a	"PW34-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:30:41.00	0.953453362	g	-6.653361783	4.99E-06	1231299	1.067	u		0.01		
This study	Botswana 2012	Masama 1 Sill	PW34-8	PW34	PW34-8a	"PW34-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:30:57.00	-208.3013263	g	-28.2331599	5.25E-06	1231300	1.267	u		0.01		
This study	Botswana 2012	Masama 1 Sill	PW34-9	PW34	PW34-9a	"PW34-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:31:12.00	-81.26278092	g	-16.82834347	5.74E-06	1231301	1.467	u		0.01		
This study	Botswana 2012	Masama 1 Sill	PW34-1	PW34	PW34-1a	"PW34-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:34:57.00	-231.4818518	g	-45.43397329	4.37E-06	1231302	0.067	u		0.015		
This study	Botswana 2012	Masama 1 Sill	PW34-2	PW34	PW34-2a	"PW34-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:35:13.00	51.76962835	g	-34.19369153	6.74E-06	1231303	0.267	u		0.015		
This study	Botswana 2012	Masama 1 Sill	PW34-3	PW34	PW34-3a	"PW34-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:35:28.00	25.51127306	g	-27.16135732	5.12E-06	1231304	0.467	u		0.015		
This study	Botswana 2012	Masama 1 Sill	PW34-5	PW34	PW34-5a	"PW34-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:35:43.00	-268.0909177	g	-13.96131476	3.37E-06	1231305	0.667	u		0.015		
This study	Botswana 2012	Masama 1 Sill	PW34-6	PW34	PW34-6a	"PW34-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:35:58.00	-254.3165203	g	-16.53877676	2.83E-06	1231306	0.867	u		0.015		
This study	Botswana 2012	Masama 1 Sill	PW34-7	PW34	PW34-7a	"PW34-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:36:14.00	9.307684821	g	-3.655041525	3.14E-06	1231307	1.067	u		0.015		
This study	Botswana 2012	Masama 1 Sill	PW34-8	PW34	PW34-8a	"PW34-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:36:29.00	-196.1419771	g	-25.15659939	3.41E-06	1231308	1.267	u		0.015		
This study	Botswana 2012	Masama 1 Sill	PW34-9	PW34	PW34-9a	"PW34-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:36:44.00	-71.14227587	g	-12.7573628	3.45E-06	1231309	1.467	u		0.015		
This study	Botswana 2012	Masama 1 Sill	PW34-1	PW34	PW34-1a	"PW34-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:40:34.00	-232.03624	g	-38.70432493	2.39E-06	1231310	0.067	u		0.02		
This study	Botswana 2012	Masama 1 Sill	PW34-2	PW34	PW34-2a	"PW34-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:40:49.00	45.22654204	g	-28.23606697	4.54E-06	1231311	0.267	u		0.02		
This study	Botswana 2012	Masama 1 Sill	PW34-3	PW34	PW34-3a	"PW34-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:41:04.00	23.60328157	g	-19.64364111	2.54E-06	1231312	0.467	u		0.02		
This study	Botswana 2012	Masama 1 Sill	PW34-5	PW34	PW34-5a	"PW34-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:41:20.00	-263.1198665	g	-12.77304656	2.00E-06	1231313	0.667	u		0.02		
This study	Botswana 2012	Masama 1 Sill	PW34-6	PW34	PW34-6a	"PW34-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:41:35.00	-247.3477021	g	-14.68758225	1.63E-06	1231314	0.867	u		0.02		
This study	Botswana 2012	Masama 1 Sill	PW34-7	PW34	PW34-7a	"PW34-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:41:50.00	14.47673968	g	-1.57470532	1.86E-06	1231315	1.067	u		0.02		
This study	Botswana 2012	Masama 1 Sill	PW34-8	PW34	PW34-8a	"PW34-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:42:05.00	-189.1781402	g	-22.99168561	2.01E-06	1231316	1.267	u		0.02		
This study	Botswana 2012	Masama 1 Sill	PW34-9	PW34	PW34-9a	"PW34-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:42:21.00	-65.65637333	g	-10.97310592	1.99E-06	1231317	1.467	u		0.02		
This study	Botswana 2012	Masama 1 Sill	PW34-1	PW34	PW34-1a	"PW34-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:46:15.00	-232.3215676	g	-35.08744811	1.38E-06	1231318	0.067	u		0.025		
This study	Botswana 2012	Masama 1 Sill	PW34-2	PW34	PW34-2a	"PW34-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:46:30.00	40.03681494	g	-25.49030929	3.51E-06	1231319	0.267	u		0.025		
This study	Botswana 2012	Masama 1 Sill	PW34-3	PW34	PW34-3a	"PW34-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:46:46.00	22.50495513	g	-15.22789923	1.40E-06	1231320	0.467	u		0.025		
This study	Botswana 2012	Masama 1 Sill	PW34-5	PW34	PW34-5a	"PW34-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:47:01.00	-259.6932749	g	-12.17312714	1.13E-06	1231321	0.667	u		0.025		
This study	Botswana 2012	Masama 1 Sill	PW34-6	PW34	PW34-6a	"PW34-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:47:16.00	-243.1573616	g	-13.69856847	9.37E-07	1231322	0.867	u		0.025		
This study	Botswana 2012	Masama 1 Sill	PW34-7	PW34	PW34-7a	"PW34-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:47:31.00	17.6192171	g	-1.027923336	1.18E-06	1231323	1.067	u		0.025		
This study	Botswana 2012	Masama 1 Sill	PW34-8	PW34	PW34-8a	"PW34-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:47:47.00	-185.8212179	g	-21.35572512	1.17E-06	1231324	1.267	u		0.025		
This study	Botswana 2012	Masama 1 Sill	PW34-9	PW34	PW34-9a	"PW34-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:48:02.00	-63.6957754	g	-9.833951365	1.25E-06	1231325	1.467	u		0.025		
This study	Botswana 2012	Masama 1 Sill	PW34-1	PW34	PW34-1a	"PW34-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:52:01.00	-232.3423064	g	-33.46871399	8.12E-07	1231326	0.067	u		0.03		
This study	Botswana 2012	Masama 1 Sill	PW34-2	PW34	PW34-2a	"PW34-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:52:16.00	36.10676942	g	-23.95020782	2.95E-06	1231327	0.267	u		0.03		
This study	Botswana 2012	Masama 1 Sill	PW34-3	PW34	PW34-3a	"PW34-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:52:32.00	22.1220815	g	-12.24075981	8.58E-07	1231328	0.467	u		0.03		
This study	Botswana 2012	Masama 1 Sill	PW34-5	PW34	PW34-5a	"PW34-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:52:47.00	-257.8162553	g	-11.72666441	6.42E-07	1231329	0.667	u		0.03		
This study	Botswana 2012	Masama 1 Sill	PW34-6	PW34	PW34-6a	"PW34-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:53:02.00	-239.1182936	g	-12.83617126	5.62E-07	1231330	0.867	u		0.03		
This study	Botswana 2012	Masama 1 Sill	PW34-7	PW34	PW34-7a	"PW34-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:18:18:53:17.00	18.3918845	g	-0.139474238	7.90E-07	1231331	1.067	u		0.03		
