tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Botswana 2012	Mosolotsane 2 Sill	PW27-1	PW27	PW27-1a	"PW27-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.400e-01	3.000e-02	T		u	2.4	88.0	l	8.8	6.6	10	-1
	This study	Botswana 2012	Mosolotsane 2 Sill	PW27-1	PW27	PW27-1a	"PW27-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.400e-01	3.000e-02	T		u	2.4	192.7	l	7.3	6.6	10	0
	This study	Botswana 2012	Mosolotsane 2 Sill	PW27-1	PW27	PW27-1a	"PW27-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	1.400e-01	3.000e-02	T		u	2.4	193.7	l	3.8	6.6	10	100
	This study	Botswana 2012	Mosolotsane 2 Sill	PW27-2	PW27	PW27-2a	"PW27-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.700e-01	4.000e-02	T		u	1.7	103.0	l	10.8	2.2	10	-1
	This study	Botswana 2012	Mosolotsane 2 Sill	PW27-2	PW27	PW27-2a	"PW27-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.700e-01	4.000e-02	T		u	1.7	194.1	l	14.7	2.2	10	0
	This study	Botswana 2012	Mosolotsane 2 Sill	PW27-2	PW27	PW27-2a	"PW27-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	1.700e-01	4.000e-02	T		u	1.7	196.2	l	10.9	2.2	10	100
	This study	Botswana 2012	Mosolotsane 2 Sill	PW27-3	PW27	PW27-3a	"PW27-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.700e-01	4.000e-02	T		u	0.6	131.9	l	-5.9	4.9	10	-1
	This study	Botswana 2012	Mosolotsane 2 Sill	PW27-3	PW27	PW27-3a	"PW27-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.700e-01	4.000e-02	T		u	0.6	192.1	l	4.2	4.9	10	0
	This study	Botswana 2012	Mosolotsane 2 Sill	PW27-3	PW27	PW27-3a	"PW27-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	1.700e-01	4.000e-02	T		u	0.6	192.5	l	0.8	4.9	10	100
	This study	Botswana 2012	Mosolotsane 2 Sill	PW27-4	PW27	PW27-4a	"PW27-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.700e-01	7.000e-02	T		u	19.8	79.5	l	8.0	9.2	7	-1
