tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Gajong Donut Sill	PW13-10	PW13	208.4	0	0	pmag core	-10		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-11	PW13	105	0	0	pmag core	-8		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-12	PW13	207	0	0	pmag core	-10		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-13	PW13	190.1	0	0	pmag core	-13		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-14	PW13	190.4	0	0	pmag core	-9		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-15	PW13	284.6	0	0	pmag core	-13		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-16	PW13	331.7	0	0	pmag core	-9		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-1	PW13	348.9	0	0	pmag core	-21		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-2	PW13	180.5	0	0	pmag core	-17		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-3	PW13	81	0	0	pmag core	-10		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-4	PW13	164.8	0	0	pmag core	-15		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-5	PW13	128.4	0	0	pmag core	-17		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-6	PW13	148.3	0	0	pmag core	-10		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-7	PW13	106.1	0	0	pmag core	-7		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-8	PW13	200.8	0	0	pmag core	-11		-24.2558	25.6507
This study	Botswana 2012	Gajong Donut Sill	PW13-9	PW13	152	0	0	pmag core	-9		-24.2558	25.6507
