tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Mosolotsane 1 Sill	PW22-10	PW22	350.6	10	262.85	pmag core	-47		-22.907	26.3893
This study	Botswana 2012	Mosolotsane 1 Sill	PW22-11	PW22	233.6	10	262.85	pmag core	-16		-22.907	26.3893
This study	Botswana 2012	Mosolotsane 1 Sill	PW22-12	PW22	227.6	10	262.85	pmag core	-24		-22.907	26.3893
This study	Botswana 2012	Mosolotsane 1 Sill	PW22-1	PW22	265.3	10	262.85	pmag core	-28		-22.907	26.3893
This study	Botswana 2012	Mosolotsane 1 Sill	PW22-2	PW22	261.7	10	262.85	pmag core	-39		-22.907	26.3893
This study	Botswana 2012	Mosolotsane 1 Sill	PW22-3	PW22	280.9	10	262.85	pmag core	-23		-22.907	26.3893
This study	Botswana 2012	Mosolotsane 1 Sill	PW22-4	PW22	288.8	10	262.85	pmag core	-24		-22.907	26.3893
This study	Botswana 2012	Mosolotsane 1 Sill	PW22-5	PW22	287.1	10	262.85	pmag core	-69		-22.907	26.3893
This study	Botswana 2012	Mosolotsane 1 Sill	PW22-6	PW22	344.6	10	262.85	pmag core	-35		-22.907	26.3893
This study	Botswana 2012	Mosolotsane 1 Sill	PW22-7	PW22	216	10	262.85	pmag core	-16		-22.907	26.3893
This study	Botswana 2012	Mosolotsane 1 Sill	PW22-8	PW22	322.4	10	262.85	pmag core	-15		-22.907	26.3893
This study	Botswana 2012	Mosolotsane 1 Sill	PW22-9	PW22	295.7	10	262.85	pmag core	-22		-22.907	26.3893
