tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-10	PW24	227.4	10	262.88	pmag core	-30		-22.8947	26.3741
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-11	PW24	281.2	10	262.88	pmag core	-30		-22.8947	26.3741
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-12	PW24	219.8	10	262.88	pmag core	-29		-22.8947	26.3741
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-13	PW24	111.5	10	262.88	pmag core	-17		-22.8947	26.3741
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-14	PW24	103.7	10	262.88	pmag core	-18		-22.8947	26.3741
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-1	PW24	322.2	10	262.88	pmag core	-41		-22.8947	26.3741
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-2	PW24	0.5	10	262.88	pmag core	-25		-22.8947	26.3741
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-3	PW24	332.5	10	262.88	pmag core	-37		-22.8947	26.3741
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-4	PW24	309.9	10	262.88	pmag core	-22		-22.8947	26.3741
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-5	PW24	260.2	10	262.88	pmag core	-32		-22.8947	26.3741
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-6	PW24	253	10	262.88	pmag core	-20		-22.8947	26.3741
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-7	PW24	168.2	10	262.88	pmag core	-24		-22.8947	26.3741
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-8	PW24	172	10	262.88	pmag core	-53		-22.8947	26.3741
This study	Botswana 2012	Mosolotsane 4 Sill	PW24-9	PW24	171.6	10	262.88	pmag core	-60		-22.8947	26.3741
