site_ID,Slat,Slon,N,D,I,a95,Plat,Plong,dp,dm,a_95,Ref
WRD1,-25.49,29.46,6,177.3,-5.1,13.7,-61.8,203.7,6.9,13.7,9.7,Mare et al. [2006]
WRD2,-25.74,29.45,5,142.5,-10.2,16.6,-42.3,154.4,8.5,16.8,12,Mare et al. [2006]
WRD3,-25.59,28.58,4,174,9.5,6.3,-68.4,192,3.2,6.4,4.5,Mare et al. [2006]
WRD4,-25.66,29.16,5,178.1,11.1,8.2,-69.9,203.7,4.2,8.3,5.9,Mare et al. [2006]
WRD5,-25.88,29.03,5,173.9,15.2,15.3,-70.9,190.2,8.1,15.7,11.3,Mare et al. [2006]
WRD6,-25.82,28.95,8,201.7,1.1,33.6,-57.2,252,16.8,33.6,23.8,Mare et al. [2006]
WRD7,-25.71,28.71,8,185.1,21.7,22.7,-74.8,228.1,12.6,24,17.4,Mare et al. [2006]
WRD8,-25.62,28.61,7,205.5,29.6,16.8,-64.3,281.3,10.3,18.6,13.8,Mare et al. [2006]
