site_ID,Slat,Slon,N,D,I,a95,Plat,Plong,dp,dm,a_95,Ref
Wil_1,-17.9,31.5,5,181.4,-15.4,7.9,-64.2,214.7,4.2,8.1,5.9,Wilson et al. [1987]
Wil_2,-17.4,30.1,7,10.6,9.3,11.6,65.6,56.4,5.9,11.7,8.4,Wilson et al. [1987]
