tab 	magic_measurements																			
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Semarule Hill Sill	PW9-4	PW9	PW9-4a	"PW9-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:27:13:57:20.00	-9.789925004	g	-56.68067295	6.61E-05	1174719		u				
This study	Botswana 2012	Semarule Hill Sill	PW9-5	PW9	PW9-5a	"PW9-5a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:27:14:07:28.00	-18.24103643	g	-58.44792295	7.49E-05	1174720		u				
This study	Botswana 2012	Semarule Hill Sill	PW9-6	PW9	PW9-6a	"PW9-6a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:27:14:15:30.00	-16.27350177	g	-55.74811979	9.05E-05	1174721		u				
This study	Botswana 2012	Semarule Hill Sill	PW9-7	PW9	PW9-7a	"PW9-7a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:27:14:23:57.00	30.92143766	g	-19.13577659	9.10E-06	1174722		u				
This study	Botswana 2012	Semarule Hill Sill	PW9-8	PW9	PW9-8a	"PW9-8a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:27:14:35:31.00	6.363658501	g	4.433560676	1.01E-05	1174723		u				
This study	Botswana 2012	Semarule Hill Sill	PW9-10	PW9	PW9-10a	"PW9-10a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:27:14:51:22.00	-79.6554922	g	-58.46473614	1.84E-05	1174733		u				
This study	Botswana 2012	Semarule Hill Sill	PW9-11	PW9	PW9-11a	"PW9-11a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:27:14:58:26.00	-34.72722257	g	23.33822243	2.07E-05	1174742		u				
This study	Botswana 2012	Semarule Hill Sill	PW9-4	PW9	PW9-4a	"PW9-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:22:11:59:30.00	-22.42360304	g	-53.09532244	2.11E-05	1211734	0.067	u				77
This study	Botswana 2012	Semarule Hill Sill	PW9-5	PW9	PW9-5a	"PW9-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:22:11:59:44.00	-27.15799312	g	-55.62644048	2.21E-05	1211735	0.267	u				77
This study	Botswana 2012	Semarule Hill Sill	PW9-6	PW9	PW9-6a	"PW9-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:22:11:59:58.00	-23.28083023	g	-52.13704356	3.37E-05	1211736	0.467	u				77
This study	Botswana 2012	Semarule Hill Sill	PW9-7	PW9	PW9-7a	"PW9-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:22:12:00:12.00	20.4748199	g	-14.46223675	4.42E-06	1211737	0.667	u				77
