tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Sepitswane Sill	PW40-10	PW40	190.7	12	256.21	pmag core	-19		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-11	PW40	205.4	12	256.21	pmag core	-26		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-12	PW40	162	12	256.21	pmag core	-28		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-13	PW40	164	12	256.21	pmag core	-18		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-14	PW40	219.1	12	256.21	pmag core	-24		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-15	PW40	202.3	12	256.21	pmag core	-24		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-1	PW40	112.3	12	256.21	pmag core	-16		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-2	PW40	328.4	12	256.21	pmag core	-18		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-3	PW40	353.5	12	256.21	pmag core	-17		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-4	PW40	159.7	12	256.21	pmag core	-16		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-5	PW40	194.8	12	256.21	pmag core	-13		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-6	PW40	206.7	12	256.21	pmag core	-19		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-7	PW40	190.5	12	256.21	pmag core	-23		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-8	PW40	120	12	256.21	pmag core	-12		-24.0481	26.8914
This study	Botswana 2012	Sepitswane Sill	PW40-9	PW40	236.4	12	256.21	pmag core	-15		-24.0481	26.8914
