tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Moijabana Sill	PW30-10	PW30	141.5	0	0	pmag core	-21		-22.6421	26.4426
This study	Botswana 2012	Moijabana Sill	PW30-11	PW30	129.1	0	0	pmag core	-20		-22.6421	26.4426
This study	Botswana 2012	Moijabana Sill	PW30-12	PW30	121.8	0	0	pmag core	-25		-22.6421	26.4426
This study	Botswana 2012	Moijabana Sill	PW30-1	PW30	152.3	0	0	pmag core	-71		-22.6421	26.4426
This study	Botswana 2012	Moijabana Sill	PW30-2	PW30	154	0	0	pmag core	-78		-22.6421	26.4426
This study	Botswana 2012	Moijabana Sill	PW30-3	PW30	159.4	0	0	pmag core	-83		-22.6421	26.4426
This study	Botswana 2012	Moijabana Sill	PW30-4	PW30	8.1	0	0	pmag core	-24		-22.6421	26.4426
This study	Botswana 2012	Moijabana Sill	PW30-5	PW30	1.3	0	0	pmag core	-24		-22.6421	26.4426
This study	Botswana 2012	Moijabana Sill	PW30-6	PW30	241	0	0	pmag core	-42		-22.6421	26.4426
This study	Botswana 2012	Moijabana Sill	PW30-7	PW30	160.5	0	0	pmag core	-22		-22.6421	26.4426
This study	Botswana 2012	Moijabana Sill	PW30-8	PW30	128.7	0	0	pmag core	-12		-22.6421	26.4426
This study	Botswana 2012	Moijabana Sill	PW30-9	PW30	110.4	0	0	pmag core	-23		-22.6421	26.4426
