tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-10	PW18	201.3	4	290.1	pmag core	-8		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-11	PW18	33.5	4	290.1	pmag core	-39		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-12	PW18	47.1	4	290.1	pmag core	-23		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-13	PW18	54.5	4	290.1	pmag core	-12		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-14	PW18	47.6	4	290.1	pmag core	-9		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-15	PW18	115.3	4	290.1	pmag core	-9		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-16	PW18	116.9	4	290.1	pmag core	-25		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-17	PW18	170.2	4	290.1	pmag core	-72		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-18	PW18	341.7	4	290.1	pmag core	-31		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-1	PW18	351.6	4	290.1	pmag core	-26		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-2	PW18	26.9	4	290.1	pmag core	-22		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-3	PW18	305.3	4	290.1	pmag core	-25		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-4	PW18	184	4	290.1	pmag core	-18		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-5	PW18	187.6	4	290.1	pmag core	-11		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-6	PW18	82.9	4	290.1	pmag core	-45		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-7	PW18	67.6	4	290.1	pmag core	-36		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-8	PW18	110.2	4	290.1	pmag core	-48		-24.3762	25.4688
This study	Botswana 2012	Molepolole Prison Quarry Sill	PW18-9	PW18	107.8	4	290.1	pmag core	-17		-24.3762	25.4688
