tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Metsemotlhaba River Sill	PW6-10	PW6	97.3	0	0	pmag core	-14		-24.5469	25.8102
This study	Botswana 2012	Metsemotlhaba River Sill	PW6-11	PW6	71.1	0	0	pmag core	-24		-24.5469	25.8102
This study	Botswana 2012	Metsemotlhaba River Sill	PW6-12	PW6	102.8	0	0	pmag core	-20		-24.5469	25.8102
This study	Botswana 2012	Metsemotlhaba River Sill	PW6-1	PW6	341.7	0	0	pmag core	-21		-24.5469	25.8102
This study	Botswana 2012	Metsemotlhaba River Sill	PW6-2	PW6	329.9	0	0	pmag core	-21		-24.5469	25.8102
This study	Botswana 2012	Metsemotlhaba River Sill	PW6-3	PW6	319	0	0	pmag core	-26		-24.5469	25.8102
This study	Botswana 2012	Metsemotlhaba River Sill	PW6-4	PW6	4.4	0	0	pmag core	-33		-24.5469	25.8102
This study	Botswana 2012	Metsemotlhaba River Sill	PW6-5	PW6		0	0	pmag core	-90		-24.5469	25.8102
This study	Botswana 2012	Metsemotlhaba River Sill	PW6-6	PW6	62.1	0	0	pmag core	-15		-24.5469	25.8102
This study	Botswana 2012	Metsemotlhaba River Sill	PW6-7	PW6	63.5	0	0	pmag core	-11		-24.5469	25.8102
This study	Botswana 2012	Metsemotlhaba River Sill	PW6-8	PW6	65.1	0	0	pmag core	-14		-24.5469	25.8102
This study	Botswana 2012	Metsemotlhaba River Sill	PW6-9	PW6	69.9	0	0	pmag core	-11		-24.5469	25.8102
