tab	er_specimens								
er_citation_names	er_specimen_name	er_sample_name	er_site_name	er_location_name	specimen_class	specimen_lithology	specimen_type	specimen_weight	er_expedition_name
This study	PW13-11a	PW13-11	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	0.0053715	Botswana 2012
This study	PW13-1a	PW13-1	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	0.0049853	Botswana 2012
This study	PW13-2a	PW13-2	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	0.0047283	Botswana 2012
This study	PW13-3a	PW13-3	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	0.0054606	Botswana 2012
This study	PW13-4a	PW13-4	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	0.0053684	Botswana 2012
This study	PW13-5a	PW13-5	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	0.0045567	Botswana 2012
This study	PW13-6a	PW13-6	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	0.0053109	Botswana 2012
This study	PW13-7a	PW13-7	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	0.0060729	Botswana 2012
This study	PW13-1b	PW13-1	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW13-2b	PW13-2	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW13-3b	PW13-3	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW13-4b	PW13-4	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW13-5b	PW13-5	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW13-6b	PW13-6	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW14-1a	PW14-1	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0053094	Botswana 2012
This study	PW14-2a	PW14-2	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0053046	Botswana 2012
This study	PW14-3a	PW14-3	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.004972	Botswana 2012
This study	PW14-4a	PW14-4	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0047158	Botswana 2012
This study	PW14-5a	PW14-5	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0055523	Botswana 2012
This study	PW14-6a	PW14-6	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0044645	Botswana 2012
This study	PW14-7a	PW14-7	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0049791	Botswana 2012
This study	PW14-8a	PW14-8	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0058794	Botswana 2012
This study	PW15-1a	PW15-1	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0053973	Botswana 2012
This study	PW15-2a	PW15-2	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0050381	Botswana 2012
This study	PW15-3a	PW15-3	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0056187	Botswana 2012
This study	PW15-4a	PW15-4	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0054943	Botswana 2012
This study	PW15-5a	PW15-5	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0048781	Botswana 2012
This study	PW15-6a	PW15-6	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0054244	Botswana 2012
This study	PW15-7a	PW15-7	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0058058	Botswana 2012
This study	PW15-8a	PW15-8	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0060523	Botswana 2012
This study	PW15-1b	PW15-1	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW15-2b	PW15-2	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW15-3b	PW15-3	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW15-4b	PW15-4	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW15-5b	PW15-5	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
