tab	er_samples													
er_citation_names	er_sample_name	er_site_name	er_location_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	sample_bed_dip_direction	er_expedition_name	sample_description	sample_bed_dip	sample_dip	sample_azimuth
This study	PW12-11	Suping Sill	Botswana	Intrusive	Dolerite	Sill	-24.3279	25.5338	281.16	Botswana 2012	pmag core	10	-16	289.9
This study	PW12-12	Suping Sill	Botswana	Intrusive	Dolerite	Sill	-24.3279	25.5338	281.16	Botswana 2012	pmag core	10	-13	338.3
This study	PW12-2	Suping Sill	Botswana	Intrusive	Dolerite	Sill	-24.3279	25.5338	281.16	Botswana 2012	pmag core	10	-13	315.4
This study	PW12-3	Suping Sill	Botswana	Intrusive	Dolerite	Sill	-24.3279	25.5338	281.16	Botswana 2012	pmag core	10	-30	310.5
This study	PW12-4	Suping Sill	Botswana	Intrusive	Dolerite	Sill	-24.3279	25.5338	281.16	Botswana 2012	pmag core	10	-17	194.7
This study	PW12-5	Suping Sill	Botswana	Intrusive	Dolerite	Sill	-24.3279	25.5338	281.16	Botswana 2012	pmag core	10	-25	276.8
This study	PW12-6	Suping Sill	Botswana	Intrusive	Dolerite	Sill	-24.3279	25.5338	281.16	Botswana 2012	pmag core	10	-26	304.2
This study	PW12-7	Suping Sill	Botswana	Intrusive	Dolerite	Sill	-24.3279	25.5338	281.16	Botswana 2012	pmag core	10	-12	245.7
This study	PW12-8	Suping Sill	Botswana	Intrusive	Dolerite	Sill	-24.3279	25.5338	281.16	Botswana 2012	pmag core	10	-9	338.1
This study	PW12-9	Suping Sill	Botswana	Intrusive	Dolerite	Sill	-24.3279	25.5338	281.16	Botswana 2012	pmag core	10	-18	294.5
This study	PW13-1	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-21	348.9
This study	PW13-10	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-10	208.4
This study	PW13-11	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-8	105
This study	PW13-12	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-10	207
This study	PW13-13	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-13	190.1
This study	PW13-14	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-9	190.4
This study	PW13-15	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-13	284.6
This study	PW13-16	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-9	331.7
This study	PW13-2	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-17	180.5
This study	PW13-3	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-10	81
This study	PW13-4	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-15	164.8
This study	PW13-5	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-17	128.4
This study	PW13-6	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-10	148.3
This study	PW13-7	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-7	106.1
This study	PW13-8	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-11	200.8
This study	PW13-9	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	-24.2558	25.6507	0	Botswana 2012	pmag core	0	-9	152
This study	PW14-1	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1807	25.6896	260.32	Botswana 2012	pmag core	4	-17	118
This study	PW14-10	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1807	25.6896	260.32	Botswana 2012	pmag core	4	-17	95.1
