tab 	magic_measurements																										
er_citation_names	er_expedition_name	er_site_name	er_sample_name	er_location_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_positions	measurement_standard	measurement_temp	measurement_x_sd	measurement_y_sd	measurement_z_sd	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Kgale Peak Sill	PW1-8	Botswana	PW1-8a	"PW1-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:38:13.00	-3.3547816		g	27.35923174	5.94E-06	1174585	1.267		u					0.001		
This study	Botswana 2012	Kgale Peak Sill	PW1-10	Botswana	PW1-10a	"PW1-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:38:28.00	-16.25068743		g	47.01295336	2.79E-07	1174586	1.467		u					0.001		
This study	Botswana 2012	Kgale Peak Sill	PW1-1	Botswana	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:41:57.00	55.13499208		g	8.474629783	1.89E-06	1174588	0.067		u					0.0015		
This study	Botswana 2012	Kgale Peak Sill	PW1-2	Botswana	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:42:12.00	57.67919198		g	4.308741479	3.60E-06	1174589	0.267		u					0.0015		
This study	Botswana 2012	Kgale Peak Sill	PW1-3	Botswana	PW1-3a	"PW1-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:42:27.00	-10.83364139		g	42.24997309	4.65E-06	1174590	0.467		u					0.0015		
This study	Botswana 2012	Kgale Peak Sill	PW1-4	Botswana	PW1-4a	"PW1-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:42:42.00	5.362288691		g	31.38389265	2.80E-07	1174591	0.667		u					0.0015		
This study	Botswana 2012	Kgale Peak Sill	PW1-6	Botswana	PW1-6a	"PW1-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:42:58.00	20.38581814		g	25.50682629	6.13E-06	1174592	0.867		u					0.0015		
This study	Botswana 2012	Kgale Peak Sill	PW1-7	Botswana	PW1-7a	"PW1-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:43:13.00	-6.138470182		g	24.04719997	7.07E-06	1174593	1.067		u					0.0015		
This study	Botswana 2012	Kgale Peak Sill	PW1-8	Botswana	PW1-8a	"PW1-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:43:28.00	-3.35382958		g	27.36680497	5.96E-06	1174594	1.267		u					0.0015		
This study	Botswana 2012	Kgale Peak Sill	PW1-10	Botswana	PW1-10a	"PW1-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:43:43.00	-16.14272727		g	47.00748312	2.80E-07	1174595	1.467		u					0.0015		
This study	Botswana 2012	Kgale Peak Sill	PW1-1	Botswana	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:47:13.00	55.15662998		g	8.473644445	1.89E-06	1174597	0.067		u					0.002		
This study	Botswana 2012	Kgale Peak Sill	PW1-2	Botswana	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:47:28.00	57.70633311		g	4.310199521	3.61E-06	1174598	0.267		u					0.002		
This study	Botswana 2012	Kgale Peak Sill	PW1-3	Botswana	PW1-3a	"PW1-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:47:43.00	-10.80207251		g	42.23911339	4.66E-06	1174599	0.467		u					0.002		
This study	Botswana 2012	Kgale Peak Sill	PW1-4	Botswana	PW1-4a	"PW1-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:47:58.00	5.233049821		g	31.32111791	2.81E-07	1174600	0.667		u					0.002		
