tab 	er_expeditions
expedition_description	expedition_start_lon	er_expedition_name	expedition_start_loc	expedition_start_lat	er_citation_names
sampling Umkondo sills in southern Botswana to complement the existing number of cooling units	25.86	Botswana 2012	"-24.6878,25.8622"	-24.6878	This study
>>>>>>>>>>
tab 	er_locations
location_type	er_citation_names	location_end_lat	location_begin_lon	er_location_name	location_description	location_begin_lat	location_end_lon
Region	This study:10.1029/2005JB003897	-25	25.00	Botswana	Region of Umkondo sills in southern Botswana	-22	27.50
>>>>>>>>>>
tab 	er_samples
sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_type	sample_azimuth	er_location_name	er_expedition_name	sample_lat	sample_dip	sample_bed_dip	sample_lon	sample_class
281.16	This study	Dolerite	Suping Sill	PW11-8	pmag core	Sill	329.90	Botswana	Botswana 2012	-24.3277	-18	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW11-9	pmag core	Sill	213.90	Botswana	Botswana 2012	-24.3277	-22	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW12-1	pmag core	Sill	326.80	Botswana	Botswana 2012	-24.3279	-16	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW12-10	pmag core	Sill	304.50	Botswana	Botswana 2012	-24.3279	-16	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW12-11	pmag core	Sill	289.90	Botswana	Botswana 2012	-24.3279	-16	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW12-12	pmag core	Sill	338.30	Botswana	Botswana 2012	-24.3279	-13	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW12-2	pmag core	Sill	315.40	Botswana	Botswana 2012	-24.3279	-13	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW12-3	pmag core	Sill	310.50	Botswana	Botswana 2012	-24.3279	-30	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW12-4	pmag core	Sill	194.70	Botswana	Botswana 2012	-24.3279	-17	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW12-5	pmag core	Sill	276.80	Botswana	Botswana 2012	-24.3279	-25	10	25.53	Intrusive
