tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-1	PW7	PW7-1a	"PW7-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:11:56:39.00	-256.1443853	g	-34.91408808	5.74E-06	1174142	0.067	u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-2	PW7	PW7-2a	"PW7-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:11:56:54.00	-260.8151829	g	-33.18363328	8.57E-06	1174143	0.267	u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-3	PW7	PW7-3a	"PW7-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:11:57:08.00	-56.09534302	g	61.98399909	1.32E-05	1174144	0.467	u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-5	PW7	PW7-5a	"PW7-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:11:57:22.00	-202.2901625	g	9.241012966	8.34E-06	1174145	0.667	u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-10	PW7	PW7-10a	"PW7-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:11:57:36.00	49.3252889	g	-26.62529809	1.50E-05	1174146	0.867	u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-11	PW7	PW7-11a	"PW7-11a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:11:57:50.00	-204.3453807	g	-49.28210244	5.90E-06	1174147	1.067	u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-12	PW7	PW7-12a	"PW7-12a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:11:58:04.00	-193.1621279	g	-42.43919251	4.13E-06	1174148	1.267	u				
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-1	PW7	PW7-1a	"PW7-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:12:17:45:36.00	-253.1865491	g	-36.52830472	4.64E-06	1205051	0.067	u				77
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-2	PW7	PW7-2a	"PW7-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:12:17:45:50.00	-256.1711785	g	-34.06729072	7.15E-06	1205052	0.267	u				77
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-3	PW7	PW7-3a	"PW7-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:12:17:46:05.00	-48.89342101	g	69.88543485	4.21E-06	1205053	0.467	u				77
