tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-10	PW7	102.8	0	0	pmag core	-40		-24.4767	25.5971
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-11	PW7	44.6	0	0	pmag core	-37		-24.4767	25.5971
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-12	PW7	41.9	0	0	pmag core	-32		-24.4767	25.5971
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-1	PW7	52.3	0	0	pmag core	-52		-24.4767	25.5971
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-2	PW7	54	0	0	pmag core	-55		-24.4767	25.5971
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-3	PW7	56.7	0	0	pmag core	-52		-24.4767	25.5971
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-4	PW7	51.7	0	0	pmag core	-77		-24.4767	25.5971
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-5	PW7	10.9	0	0	pmag core	-56		-24.4767	25.5971
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-6	PW7	72.1	0	0	pmag core	-36		-24.4767	25.5971
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-7	PW7	63.6	0	0	pmag core	-58		-24.4767	25.5971
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-8	PW7	62	0	0	pmag core	-42		-24.4767	25.5971
This study	Botswana 2012	Mabogoapitse Hill Sill	PW7-9	PW7	84.9	0	0	pmag core	-57		-24.4767	25.5971
