tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Rasemong North Intrusion	PW5-10	PW5	302.2	0	0	pmag core	-43		-24.7271	25.7759
This study	Botswana 2012	Rasemong North Intrusion	PW5-11	PW5	133.1	0	0	pmag core	-50		-24.7271	25.7759
This study	Botswana 2012	Rasemong North Intrusion	PW5-12	PW5	117	0	0	pmag core	-30		-24.7271	25.7759
This study	Botswana 2012	Rasemong North Intrusion	PW5-1	PW5	270.7	0	0	pmag core	-20		-24.7271	25.7759
This study	Botswana 2012	Rasemong North Intrusion	PW5-2	PW5	279.4	0	0	pmag core	-23		-24.7271	25.7759
This study	Botswana 2012	Rasemong North Intrusion	PW5-4	PW5	259.6	0	0	pmag core	-21		-24.7271	25.7759
This study	Botswana 2012	Rasemong North Intrusion	PW5-5	PW5	67.6	0	0	pmag core	-11		-24.7271	25.7759
This study	Botswana 2012	Rasemong North Intrusion	PW5-6	PW5	96.6	0	0	pmag core	-8		-24.7271	25.7759
This study	Botswana 2012	Rasemong North Intrusion	PW5-7	PW5	248.1	0	0	pmag core	-17		-24.7271	25.7759
This study	Botswana 2012	Rasemong North Intrusion	PW5-8	PW5	236.3	0	0	pmag core	-19		-24.7271	25.7759
This study	Botswana 2012	Rasemong North Intrusion	PW5-9	PW5	311.6	0	0	pmag core	-44		-24.7271	25.7759
