tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Rapitsane Sill	PW10-10	PW10	18.5	7	330.03	pmag core	-20		-24.4297	25.5846
This study	Botswana 2012	Rapitsane Sill	PW10-11	PW10	240.8	7	330.03	pmag core	-11		-24.4297	25.5846
This study	Botswana 2012	Rapitsane Sill	PW10-12	PW10	242	7	330.03	pmag core	-11		-24.4297	25.5846
This study	Botswana 2012	Rapitsane Sill	PW10-13	PW10	217.3	7	330.03	pmag core	-16		-24.4297	25.5846
This study	Botswana 2012	Rapitsane Sill	PW10-1	PW10	235.6	7	330.03	pmag core	-19		-24.4297	25.5846
This study	Botswana 2012	Rapitsane Sill	PW10-2	PW10	239.8	7	330.03	pmag core	-17		-24.4297	25.5846
This study	Botswana 2012	Rapitsane Sill	PW10-3	PW10	210.3	7	330.03	pmag core	-27		-24.4297	25.5846
This study	Botswana 2012	Rapitsane Sill	PW10-4	PW10	192.5	7	330.03	pmag core	-23		-24.4297	25.5846
This study	Botswana 2012	Rapitsane Sill	PW10-5	PW10	210.7	7	330.03	pmag core	-27		-24.4297	25.5846
This study	Botswana 2012	Rapitsane Sill	PW10-6	PW10	223.2	7	330.03	pmag core	-41		-24.4297	25.5846
This study	Botswana 2012	Rapitsane Sill	PW10-7	PW10	218.5	7	330.03	pmag core	-42		-24.4297	25.5846
This study	Botswana 2012	Rapitsane Sill	PW10-8	PW10	68	7	330.03	pmag core	-12		-24.4297	25.5846
This study	Botswana 2012	Rapitsane Sill	PW10-9	PW10	103.9	7	330.03	pmag core	-11		-24.4297	25.5846
