tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Manyana Sill	PW3-10	PW3	53.2	5	330.56	pmag core	-19		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-11	PW3	57.9	5	330.56	pmag core	-20		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-12	PW3	44.8	5	330.56	pmag core	-24		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-13	PW3	31.2	5	330.56	pmag core	-15		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-14	PW3	47.6	5	330.56	pmag core	-13		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-15	PW3	58.7	5	330.56	pmag core	-69		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-16	PW3	54.7	5	330.56	pmag core	-68		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-1	PW3	356.6	5	330.56	pmag core	-72		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-2	PW3	1.4	5	330.56	pmag core	-73		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-3	PW3	41.2	5	330.56	pmag core	-23		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-4	PW3	38.5	5	330.56	pmag core	-5		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-5	PW3	59.3	5	330.56	pmag core	-17		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-6	PW3	341.8	5	330.56	pmag core	-45		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-7	PW3	16.5	5	330.56	pmag core	-55		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-8	PW3	5.8	5	330.56	pmag core	-46		-24.7489	25.6557
This study	Botswana 2012	Manyana Sill	PW3-9	PW3	61.6	5	330.56	pmag core	-16		-24.7489	25.6557
