tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Kgale Peak Sill	PW1-10	PW1	204.6	6	224.6	pmag core	-37		-24.6878	25.8622
This study	Botswana 2012	Kgale Peak Sill	PW1-11	PW1	173.9	6	224.6	pmag core	-55		-24.6878	25.8622
This study	Botswana 2012	Kgale Peak Sill	PW1-12	PW1	172.8	6	224.6	pmag core	-44		-24.6878	25.8622
This study	Botswana 2012	Kgale Peak Sill	PW1-13	PW1	202.5	6	224.6	pmag core	-72		-24.6878	25.8622
This study	Botswana 2012	Kgale Peak Sill	PW1-14	PW1	235.3	6	224.6	pmag core	-60		-24.6878	25.8622
This study	Botswana 2012	Kgale Peak Sill	PW1-1	PW1	134.4	6	224.6	pmag core	-19		-24.6878	25.8622
This study	Botswana 2012	Kgale Peak Sill	PW1-2	PW1	129	6	224.6	pmag core	-17		-24.6878	25.8622
This study	Botswana 2012	Kgale Peak Sill	PW1-3	PW1	196.5	6	224.6	pmag core	-41		-24.6878	25.8622
This study	Botswana 2012	Kgale Peak Sill	PW1-4	PW1	196.3	6	224.6	pmag core	-37		-24.6878	25.8622
This study	Botswana 2012	Kgale Peak Sill	PW1-5	PW1	163	6	224.6	pmag core	-33		-24.6878	25.8622
This study	Botswana 2012	Kgale Peak Sill	PW1-6	PW1	162.5	6	224.6	pmag core	-35		-24.6878	25.8622
This study	Botswana 2012	Kgale Peak Sill	PW1-7	PW1	197.1	6	224.6	pmag core	-28		-24.6878	25.8622
This study	Botswana 2012	Kgale Peak Sill	PW1-8	PW1	190.8	6	224.6	pmag core	-33		-24.6878	25.8622
This study	Botswana 2012	Kgale Peak Sill	PW1-9	PW1	206.9	6	224.6	pmag core	-34		-24.6878	25.8622
